abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abide by, 遵守; 信守; 忠于（某人）; 接受
abolish,"vt. 废止, 革除, 消灭
"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
accelerate,"v. 加速, 促进"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accomplish,"vt. 完成, 达到, 实现, 使完美"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
acquire,"vt. 获得, 学到
"
adapt,"vt. 使适应, 改编
vi. 适应"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
afford,"vt. 买得起, 足以, 给予"
allocate,"vt. 分派, 分配
"
alter,v. 改变
annoy,"vt. 使恼怒, 骚扰"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
arrange,"v. 安排, 排列, 达成协议
"
assert,"vt. 主张, 坚称, 断言
"
assess,"vt. 估定, 对...征税, 评定
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
attain,"vt. 达到, 获得
vi. 达到"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
avoid,"vt. 避免, 防止, 撤消
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
ban,"n. 禁令
vt. 禁止, 取缔"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
believe,v. 相信
belong,"vi. 属于, 合适"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
cherish,"vt. 珍爱, 怀有, 爱护"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
classify,"vt. 分类, 归类, 分等
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
compel,"vt. 强迫, 迫使"
compensate,"v. 偿还, 补偿, 付报酬"
compete,"vi. 竞争, 对抗"
complain,"v. 抱怨, 抗议, 控诉"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
condemn,"vt. 判刑, 责备, 谴责
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
convey,"vt. 传达, 运输, 转让
"
cooperate,"vi. 合作, 协力, 配合
"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
criticise,"v. 批评, 吹毛求疵, 非难"
cultivate,"vt. 培养, 耕作"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
damage,"n. 损害, 伤害
v. 损害"
declare,"v. 宣布, 声明, 申报, 断言"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
decrease,"n. 减少, 减少量
v. 减少"
deepen,"vi. 深化
vt. 使加深, 使强烈"
define,"vt. 定义, 规定, 使明确
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
demonstrate,"vt. 示范, 证明
vi. 示威"
deny,"v. 否认, 拒绝"
depend,"vi. 靠, 视...而定, 信赖"
deprive,"vt. 剥夺, 使丧失
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
destroy,"vt. 破坏, 毁坏, 消灭"
determine,"v. 决定, 决心"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
devote,"vt. 投入于, 献身"
diminish,"v. (使)减少, (使)变小"
disagree,"vi. 不一致, 不适宜
"
disclose,"vt. 揭露, 透露
"
discourage,"vt. 使气馁, 阻碍"
discriminate,"v. 区别, 差别待遇"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
dispute,"n. 争论
v. 争论"
distinguish,"v. 区别, 辨别"
distribute,"vt. 分配, 散布, 分发
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
dominate,"v. 支配, 占优势"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
earn,"vt. 赚得, 获得, 博得
"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
eliminate,"vt. 除去, 排除, 剔除, 消除"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
encourage,"vt. 鼓励, 支持, 激励
"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
enforce,"vt. 强迫, 执行, 坚持
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
enhance,"vt. 提高, 加强, 增加"
enjoy,"vt. 享受, 喜欢, 欣赏
"
enrich,"vt. 使富足, 使肥沃"
ensure,"vt. 确定, 保证, 担保, 保护
"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
