what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
day,"n. 天, 日子, 白天, 工作日
"
it,"pron. 它
"
Tuesday,n. 星期二
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
Wednesday,n. 星期三
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
are,be的现在时复数或第二人称单数
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
a,"第一个字母 A; 一个; 第一的
art. "
week,"n. 星期, 周"
do,"v. 做, 进行, 完成"
you,"pron. 你, 你们"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
we,pron. 我们
to,"prep. 到, 向, 趋于
adv. 向前"
the,art. 那
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
zoo,n. 动物园
Saturday,n. 星期六
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
grandma,"n. 奶奶, 外婆"
grandmother,"n. 祖母, 女祖先"
grandpa,"爷爷, 老太爷, 外公"
grandfather,"n. 祖父, 始祖
"
or,"conj. 或, 或者
"
is,"be的现在式第三人称
"
eleven,"num. 十一, 十一个"
his,"pron. 他的
"
her,"pron. 她的, 她"
how many, 几何；几；多少；几多
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人
v. 生小猪, 象猪般地生活"
your,"pron. 你的, 你们的"
sixteen,"num. 十六, 十六个"
my,"pron. 我的
"
cow,"n. 母牛, 母兽
vt. 威胁"
nineteen,"num. 十九, 十九个"
our,pron. 我们的
two,"num. 二, 二个"
three,"num. 三, 三个"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
elephant,n. 象
yes,"adv. 是
n. 是, 同意
v. 同意"
four,"num. 四, 四个
"
baby,"n. 婴孩
"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
these,pron. 这些
them,"pron. 他们, 她们, 它们"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
hair,"n. 头发, 毛发, 些微
"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
and,"conj. 和, 与
"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
me,pron. 我
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
thank,"n. 谢意, 感谢
vt. 谢谢, 感谢"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
eight,"num. 八, 八个"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
at,"prep. 在, 向, 对
"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
big,"a. 大的, 重要的
adv. 大量地"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
year,"n. 年, 年度, 年龄
"
