supermarket,"n. 超级市场
"
meat,"n. 肉, 餐, 食物
"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
English,[网络] 英语
difficult,a. 困难的
maths,n. 数学
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
science,"n. 科学, 学科, 学问, 自然科学
"
sheep,"n. 羊, 胆小者"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
"
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
brother,n. 兄弟
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
homework,"n. 家庭作业, 家里做的工作
"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
join,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
"
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
autumn,"n. 秋天, 成熟期"
family,"n. 家庭, 家人, 族
a. 家庭的"
fruit,"n. 水果, 果类, 结果
"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
usually,"adv. 通常, 大抵"
him,pron. 他
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
as,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
"
tongue,"n. 舌, 语言能力, 讲话方式, 语言
vt. 舔, 斥责, 发...的音
vi. 使用舌头, 吹管乐器"
the U.S.A.,[网络] 美国；悠游美国
the United States of America,"美国, 美利坚合众国"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
morning,"n. 早晨, 早上, 初期"
the U.K.,n. 英国
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
river,"n. 河, 江
"
city,"n. 城市, 市
"
afternoon,"n. 午后, 下午"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
Canada,n. 加拿大
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
tennis,n. 网球
golf,"n. 高尔夫球
vi. 打高尔夫球"
British,"a. 英国的
n. 英国人, 英国英语"
basketball,n. 篮球
with,"prep. 和...在一起, 以, 由于"
friend,"n. 朋友, 支持者, 赞助者
"
baseball,"n. 棒球
"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
ski,"n. 滑雪橇
vi. 滑雪"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
panda,"n. 大熊猫, 小熊猫"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
early,"a. 早的, 早熟的
adv. 很早, 初"
breakfast,n. 早餐
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
dinner,"n. 晚餐, 正餐, 宴会"
