practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
textbook,n. 教科书
TV,"n. 电视；电视机
abbr. (=television)
"
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
chess,"n. 国际象棋
"
photo,"n. 相片, 照片, 逼真的描绘
v. 照相
a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
would,"aux. 将, 愿意"
different,"a. 不同的
"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
up,"a. 向上的, 起床的, 涨的
adv. 向上, 上涨
prep. 在...上面, 向...的较高处"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
earth,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
sun,"n. 太阳, 日, 日光, 阳光
vt. 晒
vi. 晒太阳"
their,pron. 他们的
forest,"n. 森林, 林区
vt. 植树于"
make use of,使用
wood,"n. 木材, 木制品
vt. 植林于, 给...添加木柴
vi. 收集木材"
example,"n. 例子, 样本, 实例
"
tomato,"n. 番茄, 西红柿"
carrot,"n. 胡萝卜
"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
nut,"n. 坚果, 核心, 螺帽
"
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
both,"a. 两者的
adv. 两者都
pron. 两者"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
son,"n. 儿子, 女婿, 子孙
"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
eighteen,"num. 十八, 十八个"
lovely,"a. 可爱的, 有趣的"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
seven,"num. 七, 七个"
niece,"n. 侄女, 甥女"
nephew,"n. 侄子, 外甥"
daughter,"n. 女儿
a. 女儿的"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
often,"adv. 时常, 常常"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
should,"aux. 应该, 将要"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
birthday,n. 生日
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
build,"v. 建立, 建筑
n. 构造, 体格"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
email,n. 电子信函
enjoy,"vt. 享受, 喜欢, 欣赏
"
exciting,"a. 令人兴奋的, 刺激的
"
famous,"a. 出名的, 极好的"
its,pron. 它的
beach,n. 海滩
sea,"n. 海, 海洋, 海浪, 大量
"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
