a,"第一个字母 A; 一个; 第一的
art. "
am,"be的单数第一人称
"
an,art. 一
Ann,n. 安（女子名）
ant,n. 蚂蚁
apple,"n. 苹果, 家伙
"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
banana,n. 香蕉
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
boy,"n. 男孩
"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
car,"n. 汽车, 客车
"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
color,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
crocodile,n. 鳄鱼
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
doll,"n. 洋娃娃, 无头脑的美丽女人"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
eight,"num. 八, 八个"
elephant,n. 象
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
five,"num. 五, 五个"
four,"num. 四, 四个
"
frog,"n. 青蛙
"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
girl,"n. 女孩, 少女, 女佣"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
Happy birthday!,n. 生日快乐
hat,"n. 帽子
vt. 给...戴帽子"
hello,"interj. 喂, 嘿"
hi,interj. 喂
how many, 几何；几；多少；几多
how old, 几岁
ice cream,"冰淇淋
"
I'm,"na. 'im = him
"
insect,"n. 昆虫, 卑鄙的人
"
is,"be的现在式第三人称
"
it,"pron. 它
"
it's,"pron. 其
short. it is；it has
adv. （指事物、动物或婴儿）它的
"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
jeep,"n. 吉普车
vi. 乘吉普车
vt. 用吉普车运"
Ken,"n. 视野范围, 知识范围, 见地"
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
lollipop,n. 棒棒糖
Mocky,n. & adj.<美俚><贬>犹太佬(的)(亦作mockey)
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
nine,"num. 九, 九个"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
seven,"num. 七, 七个"
six,"num. 六, 六个"
teacher,"n. 教师, 老师, 导师"
teddy bear,n. 玩具熊
ten,"num. 十, 十个"
Thank you., 谢谢你
three,"num. 三, 三个"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
two,"num. 二, 二个"
Uncle Booky,无
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
what's," （尤当 has 为助动词时, what is 或 what has 的常用口语形式）; 乌"
