restaurant,"n. 餐馆, 饭店"
menu,"n. 菜单, (功能)选择单
"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
chicken,"n. 小鸡, 鸡肉"
noodles,"n. 面条, 挂面（noodle的复数形式）"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
fruit,"n. 水果, 果类, 结果
"
meat,"n. 肉, 餐, 食物
"
vegetables,n. 菜类；蔬菜（vegetable的复数形式）
dumplings,n. 汤团( dumpling的名词复数 ); 饺子; 水果布丁; 矮胖的人
hamburgers,n. 汉堡包( hamburger的复数形式 )
big,"a. 大的, 重要的
adv. 大量地"
beautiful,a. 美丽的
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
peacock,"n. 孔雀, 好炫耀的人
vi. 炫耀, 神气活现地行走"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
turtle,n. 海龟
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
bad,"a. 坏的
n. 坏
adv. 坏地"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
thirsty,"a. 口渴的, 渴望的, 干燥的"
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
cola,"结肠, 冒号, 科朗
"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
coffee,"n. 咖啡, 咖啡色
"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
iced tea, 冰茶
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
hat,"n. 帽子
vt. 给...戴帽子"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
storybook,"n. 故事书, 小说"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
newspaper,n. 报纸
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
toys,n. 玩具（toy的复数）
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
hair,"n. 头发, 毛发, 些微
"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
