fruit,"n. 水果, 果类, 结果
"
it,"pron. 它
"
banana,n. 香蕉
nut,"n. 坚果, 核心, 螺帽
"
pear,"n. 梨子, 梨树, 梨木
"
strawberry,n. 草莓
yes,"adv. 是
n. 是, 同意
v. 同意"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
an,art. 一
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
vegetables,n. 菜类；蔬菜（vegetable的复数形式）
are,be的现在时复数或第二人称单数
these,pron. 这些
they,"pron. 他们, 它们"
tomatoes,n. 蕃茄（tomato的复数形式）
those,pron. 那些
beans,n. 豆子；豆类；黄豆（bean的复数）
mushrooms,n. 蘑菇；蕈类（mushroom的复数形式）
cabbages,"n. 洋白菜, 卷心菜( cabbage的名词复数 )"
onions,n. 奥尼恩斯（姓氏）；奥尼恩斯（英国语言学家、词典编纂家）
potatoes,n. 马铃薯；土豆（potato的复数形式）
carrots,n. 胡萝卜；红萝卜（carrot的复数形式）
eggplants,n. 茄子( eggplant的复数形式 )
peppers,n. 胡椒粉( pepper的名词复数 ); 辣椒
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
how many, 几何；几；多少；几多
there,adv. 在那里
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
too,"adv. 也, 非常, 太"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
eleven,"num. 十一, 十一个"
thirteen,"num. 十三, 十三个"
twelve,"num. 十二, 十二个"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
crocodile,n. 鳄鱼
big,"a. 大的, 重要的
adv. 大量地"
fourteen,"num. 十四, 十四个"
fifteen,"num. 十五, 十五个"
sixteen,"num. 十六, 十六个"
seventeen,"num. 十七, 十七个"
eighteen,"num. 十八, 十八个"
nineteen,"num. 十九, 十九个"
twenty,"num. 二十, 二十个"
color,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
butterfly,"n. 蝴蝶
"
beautiful,a. 美丽的
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
yellow,"n. 黄色
a. 黄色的"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
look at,"看, 考虑, 着眼于"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
black,"n. 黑色, 黑颜料
a. 黑色的"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
door,n. 门
candy bar,n. 单独包装的块状糖
cookie,"n. 饼干, 小甜点
"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
animal,"n. 动物
"
