today,"n. 今天, 当今, 现在
adv. 今天, 当今"
Monday,n. 星期一
day,"n. 天, 日子, 白天, 工作日
"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
Tuesday,n. 星期二
every,"a. 每一, 所有的"
Friday,n. 星期五
Saturday,n. 星期六
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
week,"n. 星期, 周"
diary,"n. 日记
"
Wednesday,n. 星期三
Thursday,n. 星期四
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
... o'clock,"n. ...点钟, 钟头"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
early,"a. 早的, 早熟的
adv. 很早, 初"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
have dinner,吃晚饭
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
breakfast,n. 早餐
always,"adv. 总是, 始终"
often,"adv. 时常, 常常"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
morning,"n. 早晨, 早上, 初期"
afternoon,"n. 午后, 下午"
never,"adv. 从不, 决不, 不曾
"
sometimes,"adv. 有时, 时常, 往往"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
get up,"na. 起床；起身；站起来；叫…起床
"
have lunch, 吃午餐
go to bed,"上床, 睡觉"
do homework,[网络] 做作业；做家庭作业；做功课
let's,abbr. let us 让我们
go to a movie, 去看电影
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
shall,aux. 将
amusement park,公共游乐场
museum,n. 博物馆
dinosaur,n. 恐龙
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
by bus,乘公共汽车
go to the library,无
play sports, 参加体育运动或比赛
play games, 敷衍塞责
by bike, 骑自行车；骑单车
by car,乘汽车
by taxi,adv. 坐计程车
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
weather report,气象报告
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
stay at home,"na. 长时间内不在
"
rainy,"a. 下雨的, 多雨的"
snowy,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
