what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
is,"be的现在式第三人称
"
your,"pron. 你的, 你们的"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
hi,interj. 喂
hello,"interj. 喂, 嘿"
my,"pron. 我的
"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
am,"be的单数第一人称
"
and,"conj. 和, 与
"
good morning,早上好
children,"pl. 孩子, 孩子们"
goodbye,interj. 再见
bye,"interj. 再会, 回头见
"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
a,"第一个字母 A; 一个; 第一的
art. "
deer,n. 鹿
it,"pron. 它
"
tiger,"n. 老虎, 虎, 凶暴的人"
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
not,"adv. 不, 非, 未
"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
cow,"n. 母牛, 母兽
vt. 威胁"
panda,"n. 大熊猫, 小熊猫"
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
the,art. 那
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
football,"n. 足球, 橄榄球"
OK,[网络] 确定；好；击
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
kick,"n. 踢, 反冲, 后座力, 凹底
vi. 踢, 反抗, 反冲
vt. 踢, 反冲"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
who,pron. 谁
he,"pron. 他
n. 男孩, 男人, 雄性动物"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
she,pron. 她
friend,"n. 朋友, 支持者, 赞助者
"
family,"n. 家庭, 家人, 族
a. 家庭的"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
grandmother,"n. 祖母, 女祖先"
grandfather,"n. 祖父, 始祖
"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
yes,"adv. 是
n. 是, 同意
v. 同意"
brother,n. 兄弟
me,pron. 我
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
uncle,"n. 叔父, 伯父, 姨丈"
his,"pron. 他的
"
her,"pron. 她的, 她"
computer,"n. 电脑, 电子计算机
"
mom,n. 妈妈
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
car,"n. 汽车, 客车
"
pencil box, 铅笔盒
bike,"n. 自行车, 脚踏车"
for,"prep. 为, 因为, 至于
conj. 因为
"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
