banana,n. 香蕉
fruits,"[法] 孽息, 收益, 成果"
nut,"n. 坚果, 核心, 螺帽
"
an,art. 一
apple,"n. 苹果, 家伙
"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
peach,"n. 桃子, 桃树, 桃色, 美人儿, 极好的事物
vt. 告发
vi. 告密, 检举"
pear,"n. 梨子, 梨树, 梨木
"
strawberry,n. 草莓
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
pineapple,"n. 凤梨, 菠萝, 失业救济金
"
watermelon,n. 西瓜
they,"pron. 他们, 它们"
are,be的现在时复数或第二人称单数
tomatoes,n. 蕃茄（tomato的复数形式）
these,pron. 这些
those,pron. 那些
beans,n. 豆子；豆类；黄豆（bean的复数）
cabbages,"n. 洋白菜, 卷心菜( cabbage的名词复数 )"
potatoes,n. 马铃薯；土豆（potato的复数形式）
carrots,n. 胡萝卜；红萝卜（carrot的复数形式）
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
you,"pron. 你, 你们"
mushrooms,n. 蘑菇；蕈类（mushroom的复数形式）
onions,n. 奥尼恩斯（姓氏）；奥尼恩斯（英国语言学家、词典编纂家）
how many, 几何；几；多少；几多
birds,n. 鸟类；禽（bird的复数）
there,adv. 在那里
eggs,n. 鸡蛋；蛋（egg的复数形式）
flowers,[医] 花; 升华制成的药物; 月经
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
two,"num. 二, 二个"
three,"num. 三, 三个"
five,"num. 五, 五个"
four,"num. 四, 四个
"
big,"a. 大的, 重要的
adv. 大量地"
crocodile,n. 鳄鱼
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
six,"num. 六, 六个"
seven,"num. 七, 七个"
eight,"num. 八, 八个"
nine,"num. 九, 九个"
ten,"num. 十, 十个"
color,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
black,"n. 黑色, 黑颜料
a. 黑色的"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
yellow,"n. 黄色
a. 黄色的"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
many,"n. 多数, 多数人
a. 许多的
pron. 许多"
thank you, 谢谢你
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
our,pron. 我们的
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
but,"prep. 除了
conj. 但是
adv. 仅仅"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
cookies,n. 饼干
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
