job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
teacher,"n. 教师, 老师, 导师"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
vet,"n. 兽医
vi. 当兽医
vt. 诊断, 检审"
juggler,"n. 变戏法者, 行骗者"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
telephone,"n. 电话, 电话机
v. 打电话"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
farmer,"n. 农夫, 农场主
"
policeman,"n. 警察
"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
student,"n. 学生, 研究者, 学者"
singer,n. 歌手
worker,"n. 工人, 劳动者
"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
animal,"n. 动物
"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
cute,"a. 可爱的, 聪明的, 伶俐的
"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
a lot,"大量, 很, 非常"
go away,走开
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
beautiful,a. 美丽的
interesting,a. 有趣的
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
clever,"a. 聪明的, 精明的"
clothes,n. 衣服
T-shirt,"短袖运动衫,短袖汗衫"
trousers,"pl. 裤子, 长裤"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
shoes,n. 鞋子（shoe的复数）
too,"adv. 也, 非常, 太"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
shorts,"n. 短裤, (美)男人的短衬裤
"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
shirt,"n. 衬衫, 内衣, 汗衫"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
socks,"短袜, 袜子, 鞋内的衬垫, 轻软鞋, 巨款, 存款, 存钱处, 银箱, 拳打, 一击, 重击"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
under,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
in front of,在...前面
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
gone,"a. 离去的, 死去的, 用完的
go的过去分词"
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
"
behind,"adv. 在后地
prep. 在...背后"
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
desk,"n. 书桌, 办公桌, 工作台"
door,n. 门
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
zoo,n. 动物园
supermarket,"n. 超级市场
"
post office,"邮局
"
train station,n. 火车站
excuse me,对不起
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
next to,几乎
town,"n. 城镇, 市, 镇
"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
street,"n. 街道, 马路, 街区
a. 街道的"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
between,prep. 在...之间
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
cinema,"n. 电影院, 电影"
bus,"n. 公共汽车
"
bus stop,公共汽车站
hospital,"n. 医院
"
actor,"n. 男演员, 行动者
"
dancer,"n. 舞蹈演员, 跳舞者"
angry,"a. 生气的, 愤怒的"
again,"adv. 再一次, 又, 到原处"
