day,"n. 天, 日子, 白天, 工作日
"
week,"n. 星期, 周"
Wednesday,n. 星期三
Thursday,n. 星期四
Monday,n. 星期一
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
Tuesday,n. 星期二
Friday,n. 星期五
Saturday,n. 星期六
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
every,"a. 每一, 所有的"
diary,"n. 日记
"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
... o'clock,"n. ...点钟, 钟头"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
early,"a. 早的, 早熟的
adv. 很早, 初"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
know,"v. 知道, 了解, 认识, 确信"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
afternoon,"n. 午后, 下午"
evening,"n. 傍晚, 晚间, 末期"
morning,"n. 早晨, 早上, 初期"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
him,pron. 他
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
get up,"na. 起床；起身；站起来；叫…起床
"
always,"adv. 总是, 始终"
often,"adv. 时常, 常常"
breakfast,n. 早餐
sometimes,"adv. 有时, 时常, 往往"
meat,"n. 肉, 餐, 食物
"
newspaper,n. 报纸
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
lunch,n. 午餐
never,"adv. 从不, 决不, 不曾
"
activity,"n. 活动, 行动, 活跃, 活力
"
museum,n. 博物馆
dinosaur,n. 恐龙
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
shall,aux. 将
let's,abbr. let us 让我们
homework,"n. 家庭作业, 家里做的工作
"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
by bus,乘公共汽车
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
by bike, 骑自行车；骑单车
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
by car,乘汽车
on foot,"na. 步行；在进行中；徒步
"
by taxi,adv. 坐计程车
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
rainy,"a. 下雨的, 多雨的"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
snowy,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
weather report,气象报告
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
sunglasses,"n. 太阳镜, 墨镜, 太阳眼镜"
