vacation,"n. 假期, 休假
"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
traveled,"a. 富有旅行经验的, 旅客常到的"
housework,"n. 家事, 家务"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
exciting,"a. 令人兴奋的, 刺激的
"
photo,"n. 相片, 照片, 逼真的描绘
v. 照相
a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
brought,bring的过去式和过去分词
weekend,"n. 周末, 周末休假"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
wrote,write的过去式
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
piano,n. 钢琴
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
guitar,n. 吉他
flute,"n. 笛, 横笛, 凹槽
vi. 吹笛子
vt. 用长笛奏, 刻凹槽于"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
begin,"v. 开始
"
soon,"adv. 不久, 早, 快, 宁可"
tonight,"n. 今晚, 今夜
adv. 今晚, 今夜"
worried,"a. 担心的, 闷闷不乐的"
violin,n. 小提琴
year,"n. 年, 年度, 年龄
"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
happen,"vi. 发生, 发生, 恰巧"
future,"n. 未来, 将来
a. 将来的, 未来的"
everything,"pron. 每件事物, 所有事物"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
better,"a. 较好的
adv. 比较好"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
believe,v. 相信
sea,"n. 海, 海洋, 海浪, 大量
"
