restaurant,"n. 餐馆, 饭店"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
here,"adv. 在这里, 此时, 这里
n. 这里"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
chicken,"n. 小鸡, 鸡肉"
noodles,"n. 面条, 挂面（noodle的复数形式）"
menu,"n. 菜单, (功能)选择单
"
fried rice, 炒饭
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
French fries, 炸薯条
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
dumplings,n. 汤团( dumpling的名词复数 ); 饺子; 水果布丁; 矮胖的人
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
hot dog,"n. <口>热狗（一种中间夹有熏红肠并配有芥菜, 作料等的面包）"
talent,"n. 天才, 才能, 有才干的人, 天资"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
from,"prep. 从, 来自, 根据"
China,"n. 中国, 瓷器
a. 中国的"
where,"adv. 在哪里
pron. 哪里
n. 地点"
Ms,"abbr. 多发性硬化
n. “M”的复数
"
India,n. 印度
how old, 几岁
Mr,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
Australia,"n. 澳洲, 澳大利亚"
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
US,[网络] -我们
year,"n. 年, 年度, 年龄
"
UK,"n. 英国；联合王国
abbr. United Kingdom 联合王国
"
Canada,n. 加拿大
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
not bad,"确实不错, 不坏, 不错"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
too,"adv. 也, 非常, 太"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
thirsty,"a. 口渴的, 渴望的, 干燥的"
tired,"a. 疲累的, 疲乏的, 厌倦的"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
any,"a. 任何的
pron. 任何"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
cola,"结肠, 冒号, 科朗
"
healthy,"a. 健康的, 有益健康的, 卫生的
"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
tea,"n. 茶, 茶叶
"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
hat,"n. 帽子
vt. 给...戴帽子"
them,"pron. 他们, 她们, 它们"
