questionnaire,"n. 调查表, 问卷
"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
lifestyle,n. 生活方式
shepherd,"n. 牧羊人, 牧羊犬, 牧师, 保护者
vt. 看守, 领导, 指导, 牧羊"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
"
relaxing,a. 令人轻松的
stressful,"a. 着重, 强调, 重读, 使受应力"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
TV series,[网络] 电视连续剧；电视剧；电视系列剧
cartoon,"n. 卡通画, 漫画
v. 画漫画"
talk show,访谈节目
complain,"v. 抱怨, 抗议, 控诉"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
couch potato,"n. 花大量时间看电视的人, 电视迷; 美国人说整天看电视的人是“沙发土豆”"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
switch on,"v. 打开；接通；参见
"
switch over,"[计] 转接, 切换"
switch off,"切断
"
BBC,"n. 英国广播公司
"
British Broadcasting Corporation,英国广播公司
portable,"a. 可携带的, 可搬运的, 可移动的
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
remote control,
workaholic,"n. 工作迷, 醉心于工作的人
"
paperwork,n. 文书工作
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
alarm clock,闹钟
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
be filled with,充满…
urgent,"a. 紧急的, 急迫的, 催逼的
"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
bored,a. 无聊的；烦人的；无趣的
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
suffer from,"忍受, 遭受
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
organise,"vt. 组织, 有机化, 给予生机"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
prefer,"vt. 宁可, 较喜欢, 提出
"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
basin,"n. 盆, 盆地
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
advertisement,"n. 广告, 启事, 广告宣传
"
presentation,"n. 赠与, 描述, 介绍
"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
accountant,"n. 会计人员, 会计师
"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
crowded,"a. 拥挤的, 塞满的"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
otherwise,"adv. 否则, 不同地, 别的方式"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
lung,"n. 肺, 肺脏, 空地
"
sickness,"n. 疾病, 不健康, 呕吐
"
distance,"n. 距离, 远方, 遥远
"
distance learning, 远程教育
cigar,n. 雪茄
at the moment,此刻
over the years,"在这几年中, 在那几年中"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
classical,"a. 古典的, 正统派的, 经典的
"
mini-skirt,"n. 迷你裙,超短裙"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
kung fu,n. 中国功夫
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
spaceship,n. 宇宙飞船
manned spaceship,载人航天器
province,"n. 省, 地方, 职权, 领域
"
astronaut,"n. 太空旅行者, 宇航员
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
gravity,"n. 地心引力, 重力
"
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
the United Nations,联合国
explore,"v. 探险, 探测, 探究"
peacefully,adv. 平静地
reporter,"n. 记者, 报告者
"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
atmosphere,"n. 大气, 空气, 气氛
"
parachute,"n. 降落伞
vi. 跳伞"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
million,"n. 百万, 无数
num. 百万"
millions of,"成千上万的..., 无数的..."
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
republic,"n. 共和国, 共和政体, 团体, 界"
light bulb,n. 灯泡
opinion,"n. 意见, 评价, 主张
"
in my opinion, 依我看来; 据我看来
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
racism,"n. 种族主义, 种族偏见
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
skilful,"a. 灵巧的, 熟练的, 制作精巧的"
awful,"a. 可怕的, 庄严的, 虔敬的"
useless,"a. 无用的, 无效的, 无益的
"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
bullet,"n. 子弹
"
compete,"vi. 竞争, 对抗"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
career,"n. 事业, 生涯, 成功
"
amazing,a. 令人惊异的
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
fortunately,"adv. 幸运地, 幸亏"
athlete,"n. 运动员, 运动选手
"
superhero,n. 超级英雄
afterwards,"adv. 然后, 后来"
superman,"n. 具有超人能力的人, 超人"
