likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
concept,"n. 观念, 概念
"
chart,"n. 图表, 海图
vt. 制成图表
"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
fist,"n. 拳头, 手
vt. 拳打, 握成拳, 紧握"
waist,"n. 腰部, 腰
"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
cyberspace,"[计] 空间, 网控空间"
come true,"实现, 成为事实"
artificial,"a. 人造的, 假的, 非原地产的
"
climate,"n. 气候, 社会趋势, 气候区
"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
global warming,n. 全球变暖
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
reality,"n. 实在, 事实, 实体, 逼真
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
rapidly,"adv. 飞快地, 迅速地, 赶紧地"
growth,"n. 生长, 栽培, 增长
"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
crime,"n. 犯罪, 罪行, 罪恶
"
hacker,"[计] 计算机窃贼, 计算机新技术挑战者, 黑客"
terrorist,"n. 恐怖分子
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
chaos,"n. 大混乱, 混沌
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
entertainment,"n. 娱乐, 款待, 娱乐表演"
disappear,"vi. 消失, 不见"
as if,"na. 彷佛；活像
"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
destruction,"n. 破坏, 毁灭
"
