biography,n. 传记
fantasy,"n. 幻想, 想象的产物
"
horror,"n. 惊骇, 恐怖, 惨状
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
come into view,进入视野
knock sb. over,"na. 弄倒；屈服；死；逮捕
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
once upon a time,从前
princess,"n. 公主, 王妃, 女巨头"
criteria,"pl. 标准
"
novelist,n. 小说家
volcanic eruption,火山爆发
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
occur,"vi. 发生, 被想到, 存在"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
block out,"na. 画略图；拟大纲；同“block in ”
"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
awesome,"a. 引起敬畏的, 可怕的"
in a way,"在某种程度上, 稍稍"
rewind,"vt. 重绕
n. 重绕
"
architecture,"n. 建筑学, 建筑式样
"
authentic,"a. 可靠的, 可信的, 真正的
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
monument,"n. 纪念碑, 纪念物, 石碑"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
on one's side,无
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
on the way to,在去...的路上
pay rise,[网络] 加薪；涨工资；增加工资
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
significance,"n. 重要性, 意义, 意味
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
hardship,"n. 艰难, 辛苦, 苦难
"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
"
violinist,"n. 小提琴演奏者, 小提琴家"
name ... after, 以…的名字起名
come across,偶遇
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
count on,"依靠, 指望"
origin,"n. 起源, 起因, 出身, 开端
"
figure out,"合计为, 计算出, 明白"
heather,"n. 石南花
a. 似石南的, 杂色的"
discourage,"vt. 使气馁, 阻碍"
end up,"竖着, 结束, 死"
put up with,"忍受, 容忍
"
suffering,"n. 苦难, 受苦"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
musical instrument, 乐器
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
suspension bridge,吊桥
videophone,n. 电视电话
in particular,特别
superb,"a. 极度的, 华丽的, 极好的"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
restriction,"n. 限制, 限定, 约束
"
unbearable,"a. 无法忍受的, 承受不住的"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
troublesome,"a. 麻烦的, 令人讨厌的"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
precise,"a. 精确的, 严谨的, 明确的
"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
now that,"既然..., 由于..."
eager,"a. 热心的, 渴望的, 热望的"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
violet,"n. 堇菜, 紫罗兰
a. 堇菜科的, 紫罗兰色的"
sweetness,"n. 甜蜜, 芳香, 美妙"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
breakthrough,"n. 突破
"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
tiresome,"a. 累人的, 烦人的"
awkward,"a. 笨拙的, 棘手的"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
nasty,"a. 污秽的, 下流的, 险恶的"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
applaud,"v. 拍手喝彩, 称赞, 赞同"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
harp,"n. 竖琴
vi. 弹奏竖琴, 不停地说"
fairy,"n. 仙女, 精灵
a. 仙女的"
amuse,"vt. 消遣, 娱乐, 使发笑"
burst out laughing,"放声大笑,突然笑起来"
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
anecdote,"n. 轶事, 奇闻"
ridiculous,"a. 荒谬的, 可笑的"
politician,"n. 政客, 政治家, 从事党派政治的人
"
response,"n. 反应, 回答, 响应
"
unbelievable,a. 难以置信的
agency,"n. 代理机构, 经销商, 中介
"
visa,"n. 签证
vt. 签发"
my goodness,[网络] 我的天哪；天啊；我的天啊
harmony,"n. 协调, 和睦, 调和
"
cash a cheque,兑付支票
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
forgetful,"a. 健忘的, 易忘的"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
wait in line,排队等候
identification,"n. 识别, 身份证明, 认同
"
sunburnt,"a. 晒黑的, 有晒斑的, 日炙的"
messy,"a. 散乱的, 污秽的, 麻烦的"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
thriller,"n. 使人激动的东西, 使人毛骨悚然的东西, 使人毛骨悚然的小说"
swiftly,"adv. 很快地, 即刻"
black eye,"n. （被打成的）青肿眼眶
"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
nap,"n. 小睡, 稍睡, 细毛, 孤注一掷
vi. 小睡, 疏忽
vt. 使拉毛, 打盹度过, 预测...为获胜马"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
psychology,"n. 心理学, 心理状态
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
get rid of,"摆脱, 除去"
profession,"n. 职业, 表白, 声明
"
fool around,"闲荡, 干蠢事, 干无用的事, 干琐屑的事"
from time to time,有时
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
result in,"导致
"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
scold,"n. 好骂街的人, 责骂
v. 责骂"
forbid,"vt. 禁止, 不准, 妨碍
"
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
comedy,"n. 喜剧, 有趣的事情"
comedian,n. 喜剧演员
imitate,"vt. 模仿, 效法, 冒充, 仿造"
put on,"na. 假话
"
turn sb. off,"v. 关掉
"
regardless of,"不注意, 不关心"
purely,"adv. 纯粹地, 清白地, 贞洁地"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
astonish,vt. 使惊讶
saucer,"n. 茶碟, 茶托
"
steak tartare, 鞑靼牛肉末
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
disgusting,a. 令人厌恶的
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
boarding school,寄宿学校
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
partly,"adv. 部分地, 在一定程度上"
compensate,"v. 偿还, 补偿, 付报酬"
convince,"vt. 说服, 使相信
"
play around,赛一次
pull faces,做鬼脸，做苦脸
rarely,"adv. 很少地, 罕有地"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
genius,"n. 天才, 天赋, 精神, 神魔
"
depth,"n. 深度, 深处, 深奥
"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
starve,"v. (使)饿死, (使)挨饿"
loaf,"n. 一条面包, 块, 游荡
v. 游手好闲, 虚度光阴"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
cross-talk,[计] 串道; 串音; 串扰
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
thanks to,由于
accomplish,"vt. 完成, 达到, 实现, 使完美"
breathless,"a. 喘不过气来的, 屏气的, 气喘吁吁的, 无风的, 死的"
masterpiece,"n. 杰作, 名著"
scenic,"a. 风景好的, 戏剧性的, 舞台的, 布景的
n. 风光影片, 风景照片"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
sideways,"adv. 向旁边, 向侧面地
a. 旁边的, 向侧面的"
vertical,"a. 垂直的, 直立的
"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
rainbow,"n. 彩虹
a. 五彩缤纷的"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
beholder,n. 观看者
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
corset,"n. 紧身褡, 妇女的胸衣
"
