mother tongue,"母语
"
input,"n. 输入, 输入电路
vt. 输入
"
output,"n. 输出, 产品, 产量
"
fluency,"n. 流畅, 雄辩, 善辩"
accuracy,"n. 精确, 正确
"
punctuation,"n. 标点, 标点符号
"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
nationwide,"a. 全国性的
"
thankful,"a. 感谢的, 感激的, 欣慰的"
constitution,"n. 构成, 宪法, 体格
"
liberty,"n. 自由, 特权, 许可, 冒失
"
the Statue of Liberty,n. 自由女神像
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
cafeteria,"n. 自助餐厅
"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
decade,"n. 十年, 十"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
absence,"n. 缺席, 缺乏, 没有
"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
acquisition,"n. 获得, 获得物
"
attain,"vt. 达到, 获得
vi. 达到"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
curriculum,"n. 课程
"
adequate,"a. 适当的, 足够的
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
ensure,"vt. 确定, 保证, 担保, 保护
"
accelerate,"v. 加速, 促进"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
dedication,"n. 奉献, 献身, 献辞
"
dedicated,"a. 专注的, 献身的"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
announcement,"n. 公告, 发表, 告知
"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
cream,"n. 乳酪, 奶油, 面霜
"
razor,"n. 剃刀
vt. 剃"
catch on,"变得流行, 理解, 明白"
for ages,"好久,很久,很长时间"
brochure,"n. 小册子, 小册"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
congratulate,"vt. 祝贺, 庆贺"
explicit,"a. 详述的, 清楚的, 直言的"
eyebrow,"n. 眉毛
"
on purpose,"故意
"
upwards,"adv. 以上, 向上"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
tight,"a. 紧的, 密封的, 吝啬的, 严厉的
adv. 紧紧地"
resemble,"vt. 相似, 类似"
transparent,"a. 透明的, 显然的, 清晰的
"
unrest,"n. 不安的状态, 动荡的局面
"
merely,adv. 只
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
on the other hand,另一方面
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
ambiguous,"a. 不明确的, 模棱两可的
"
offence,"n. 犯罪, 冒犯, 违反, 罪过, 过错, 攻击
"
approval,"n. 赞成, 批准
"
bent,"a. 弯曲的, 决心的
n. 爱好
bend的过去式和过去分词"
applicant,"n. 申请者
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
registration,"n. 登记, 挂号, 注册
"
competence,"n. 胜任, 职称, 能力
"
diploma,"n. 文凭, 毕业证书
"
marketing,"n. 行销, 买卖
"
overview,"n. 概述, 概观, 总的看法
"
provided,"conj. 倘若, 以...为条件"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
candidate,"n. 候选人, 投考者
"
cheers,"interj. 干杯, 再见"
diagram,n. 图表；图解
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
booth,"n. 亭, 摊棚
"
barbershop,n. 理发店
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
barber,n. 理发师
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
stewardess,"n. 空中小姐, 女管理人, 女管家"
steward,"n. 管理人, 招待员, 管家, 乘务员
"
regulation,"n. 规则, 管理, 调整
"
bingo,"n. 宾戈(一种赌博游戏), 烈酒"
haircut,"n. 理发, (男子的)发式"
amateur,"n. 业余爱好者, 外行, 爱好者
"
sincerely,adv. 真诚地
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
directory,"n. 目录, 工商名录, 指南
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
bet,"n. 打赌, 赌注
v. 打赌"
I bet,我确信
academy,"n. 学院, 院校, 学会"
Academy of Arts,无
algebra,n. 代数学
geometry,"n. 几何学
"
bacteria,"pl. 细菌
"
software,"n. 软件
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
radiation,"n. 辐射
"
radium,"n. 镭
"
radioactive,"a. 放射性的, 有放射能的
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
emotional,"a. 情绪的, 情感的
"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
journal,"n. 日记, 杂志, 日报
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
futurology,"n. 未来学
"
latter,"a. 后者的, 较后的, 近来的"
futurologist,n. 未来学家
seminar,"n. 研究班, 专题讨论会
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
handy,"a. 便利的, 敏捷的, 容易取得的
"
shortly,"adv. 不久, 简短, 唐突地"
download,"[计] 卸载, 下栽"
update,"vt. 更新, 使现代化
n. 更新
"
stainless,"a. 无瑕疵的, 不锈的
"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
garment,"n. 衣服, 衣装, 外表"
worn,"a. 用旧的, 穿旧的
wear的过去分词"
starvation,"n. 饥饿, 饿死
"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
discrimination,"n. 差别, 岐视, 辨别力
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
equality,"n. 平等, 均匀, 相等
"
cell,"n. 单元, 细胞, 电池
"
assess,"vt. 估定, 对...征税, 评定
"
database,"n. 数据库
"
electronic,"a. 电子的
"
dawn,"n. 破晓, 黎明
vi. 破晓"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
category,"n. 种类, 类项
"
autonomous,"a. 自治的
"
programmer,"n. 程序员
"
in advance,"预先
"
creator,"n. 上帝, 创造者, 创作者"
premiere,"v. 初次公演, 首次露面
n. 初次的演出
a. 首次的, 首位的"
caveman,n. 穴居人
give away,"na. 赠送；分发；放弃；露马脚
"
take over,"na. 接管；继承
"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
colleague,"n. 同事, 同僚"
hibernation,"n. 过冬, 冬眠, 避寒
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
disconnect,"vt. 使分离, 使不相连, 拆开
vi. 断开
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
operational,"a. 操作的, 运作的
"
instructor,"n. 教员, 讲师
"
dilemma,"n. 困境, (进退两难的)窘境"
microscope,"n. 显微镜
"
procedure,"n. 程序, 过程, 手续
"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
donate,v. 捐赠
correspond,"vi. 符合, 通信, 相当
"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
