lawyer,"n. 律师
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
physician,"n. 医师, 内科医师, 解除痛苦者
"
architect,"n. 建筑师, 设计者, 缔造者"
receptionist,n. 接待员
dentist,"n. 牙科医生
"
chef,n. 厨师
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
chemist,"n. 化学家, 药剂师
"
consultant,"n. 顾问, 征询意见者
"
librarian,"n. 图书馆员, 图书管理员
"
operator,"n. 操作员, 行家, 经纪人, 算子, 运算符
"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
salesman,"n. 售货员, 推销员
"
saleswoman,"n. 女售货员, 女店员"
fascinated,a. 着迷的；被深深吸引的
department,"n. 部门, 系, 机关
"
institution,"n. 机构, 惯例, 制度
"
economy,"n. 经济, 理财, 节约
"
administration,"n. 行政, 管理, 政府机关
"
management,"n. 经营, 支配, 管理
"
reliable,"a. 可靠的, 可信赖的
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
client,"n. 客户, 顾客, 委托人
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
CV,"adj. 心血管的
n. 履历
"
bachelor's degree,学士学位
master's degree,硕士学位
impressive,"a. 给人深刻印象的, 威严的"
intelligence,"n. 智力, 情报, 信息
"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
determine,"v. 决定, 决心"
intelligent,"a. 聪明的, 智能的, 了解的"
quotient,"n. 商, 份额
"
predict,"v. 预知, 预言, 预报"
deserve,"vt. 该得到, 值得
vi. 应得报答"
lower,"a. 低的, 下级的, 下层的
vi. 降低, 跌落, 减弱
vt. 放下, 降下, 减弱, 贬低"
association,"n. 协会
"
internal,"a. 内在的, 国内的
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
disability,"n. 无力, 无能, 残疾
"
willing,"a. 乐意的, 自愿的, 甘愿的"
disabled,"a. 残废的, 有缺陷的, 失效的
"
altogether,"adv. 完全地, 总而言之"
react,"vi. 起反应, 起作用, 反攻
"
solely,"adv. 仅仅, 单独地"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
financial,"a. 财政的, 金融的
"
logical,"a. 合乎逻辑的, 合理的
"
comprehension,"n. 理解, 包含"
bio-technology,[网络] 生物科技；生物技术；生物技术简介
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
AI,"n. 【动】三趾树懒；【女名】女子名
int. 唉
"
artificial intelligence,[计] 人工智能
motivated,"a. 有动机的, 目的明确的"
footstep,"n. 脚步, 脚步声, 足迹"
follow in one's footsteps,照…的样子干，走…的道路
profession,"n. 职业, 表白, 声明
"
workshop,"n. 工场, 车间, 研讨会
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
retirement,"n. 退休, 隐居, 撤退
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
lottery,"n. 奖券, 彩票, 运气
"
decent,"a. 有分寸的, 得体的, 大方的"
salary,"n. 薪水
vt. 给...加薪"
recipe,"n. 食谱, 处方, 秘诀
"
innovator,"n. 改革者, 创新者"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
outsource,vt. 把…外包
retrain,"vt. 重新训练, 再训练"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
likelihood,"n. 可能, 可能性"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
employer,"n. 雇主, 老板
"
part-time,n. 兼任，部分时间
photographer,"n. 摄影师, 摄影者"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
applicant,"n. 申请者
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
elderly,"a. 过了中年的, 稍老的"
district,"n. 区域, 地方
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
respectfully,adv. 尊敬地
option,"n. 选择权, 挑选, 选项
"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
fiction,"n. 小说, 虚构故事
"
poetry,"n. 诗, 韵文, 诗歌艺术"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
drama,"n. 戏剧, 戏剧艺术"
genre,"n. 类型, 流派"
adventure,"n. 冒险, 冒险经历
v. 冒险"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
detective,"n. 侦探
a. 侦探的"
fantasy,"n. 幻想, 想象的产物
"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
stimulating,"a. 刺激的, 有刺激性的"
absorbing,"a. 吸引人的, 非常有趣的
"
dramatic,"a. 戏剧性的, 生动的"
subjective,"a. 主观的, 个人的
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
mystery,"n. 秘密, 神秘, 奥秘"
recite,"v. 背诵, 朗读, 叙述"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
literary,"a. 文学的, 文艺的, 精通文学的
"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
historical,"a. 历史的, 史实的, 历史上的
"
era,"n. 时代, 纪元, 时期"
shelf,"n. 架子, 搁板
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
registration,"n. 登记, 挂号, 注册
"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
unseen,"a. 未被看见的, 看不见的"
pneumonia,"n. 肺炎
"
icy,"a. 冰的, 冰冷的, 冷淡的, 滑溜的"
