appropriate,"a. 适当的
"
misappropriate,"vt. 侵占, 霸占, 盗用
"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
dishonor,"n. 不名誉
vt. 玷辱, 使蒙羞"
dishonour,"n. 不名誉, 使人丢脸的人/事, 耻辱, 不光彩
vt. 使丧失名誉, 使受耻辱, 使丢脸, 奸污, 拒收, 无法偿付, 拒付"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
ethic,"n. 道德规范, 伦理"
ethical,"a. 伦理的, 民族的, 民族特有的
"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
principle,"n. 原则, 原理, 主义
"
orthodox,"a. 正统的, 传统的, 惯常的"
decent,"a. 有分寸的, 得体的, 大方的"
decency,"n. 得体, 礼貌, 正派
"
gracious,"a. 亲切的, 慈善的"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
doomsday,n. 世界末日
fate,"n. 命运, 运气
vt. 注定"
fateful,"a. 宿命的, 重大的, 决定性的"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
solemn,"a. 严肃的, 郑重的, 庄严的"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
reassure,"vt. 使...安心, 向...再保证
"
definition,"n. 定义, 精确度, 清晰度
"
definitive,"n. 限定词
a. 限定的, 决定性的"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
dosage,"n. 剂量, 用量, 配药
"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
therapy,"n. 治疗
"
aroma,"n. 浓香, 香气
"
physiotherapy,"n. 物理疗法, 理疗
"
psychotherapy,"n. 精神疗法, 心理疗法
"
insane,"a. 患精神病的, 极愚蠢的
"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
dentist,"n. 牙科医生
"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
decadent,"a. 衰微的, 颓废的
n. 颓废派"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
