similar,"a. 相似的, 类似的
n. 相似的东西"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
merely,adv. 只
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
eventually,"adv. 最后, 终于"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
frighten,"vt. 使惊吓
vi. 惊恐"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
reason,"n. 理由, 原因, 理智, 道理, 前提, 理性
vt. 说服, 推论, 辩论
vi. 推论, 劝说, 思考"
reasonable,"a. 合理的, 明理的, 适当的
"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
equality,"n. 平等, 均匀, 相等
"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
react,"vi. 起反应, 起作用, 反攻
"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activity,"n. 活动, 行动, 活跃, 活力
"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
aware,"a. 知道的, 有觉悟的"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
able,"a. 能干的, 能够的"
ability,"n. 能力, 才干
"
disabled,"a. 残废的, 有缺陷的, 失效的
"
available,"a. 可利用的, 可获得的, 有效的
"
appoint,"vt. 任命, 指定, 下令
"
appointment,"n. 约会, 委任的职位, 委派
"
disappoint,vt. 使失望
disappointed,a. 失望的
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
especially,"adv. 尤其, 特别, 格外"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
actual,"a. 真实的, 实际的, 现行的
"
actually,"adv. 事实上, 竟然, 如今, 现在"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
partly,"adv. 部分地, 在一定程度上"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
simplify,"vt. 单一化, 简单化"
true,"a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的
n. 真实, 准确
adv. 真实地, 准确地"
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
instead,"adv. 作为替代, 反而"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
climate,"n. 气候, 社会趋势, 气候区
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
highly,"adv. 非常, 非常赞许地
"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
pollute,"vt. 污染, 弄脏, 玷污
"
pollution,"n. 污染, 玷污
"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
government,"n. 政府, 内阁
"
govern,"v. 统治, 支配, 管理"
altogether,"adv. 完全地, 总而言之"
protect,"vt. 防卫, 保护, 警戒
"
protection,"n. 保护, 防卫, 贸易保护制度
"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
earn,"vt. 赚得, 获得, 博得
"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
consider,"v. 考虑, 思考, 认为"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
predict,"v. 预知, 预言, 预报"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
pretend,"v. 假装, 伪称, 自命, 自称"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
