cent,"n. 分
"
centigrade,"a. 百分度的, 摄氏的
"
century,"n. 世纪, 百年"
percent,"n. 百分比, 百分数, 部分
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
centimeter,"n. 厘米
"
centennial,"n. 百年纪念
a. 一百年的"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
circlet,"n. 小圈, 小的环, 环形饰物
"
circus,"n. 马戏团, 马戏, 竞技场"
bicycle,n. 自行车
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
circuit,"n. 电路, 环(行)道, 巡回
"
circular,"a. 圆形的, 循环的, 间接的
"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
circulate,"v. (使)流通, (使)循环, (使)传播"
encyclopedia,n. 百科全书
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
airline,"n. 航线, 航线的设备, 航空公司"
deadline,"n. 最后期限, 截止期限
"
guideline,"n. 指导路线, 方针, 指标
"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
baseline,"n. 基线, 基准
"
borderline,"n. 边界, 界线
a. 边界的"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
linear,"a. 线的, 直线的, 线状的
"
dateline,n. 日期
lineage,"n. 血统, 直系
"
hardline,"n. 强硬路线
"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
lifelong,"a. 终身的, 毕生的"
belong,"vi. 属于, 合适"
longing,"n. 渴望, 热望, 憧憬
a. 渴望的, 热望的"
longitude,"n. 经度, 经线
"
longsighted,"a. 远视的, 有远见的"
prolong,"vt. 延长, 拖延, 拖长
"
lengthen,"vt. 加长, 使延长
vi. 变长"
longevity,"n. 长命, 长寿, 寿命
"
longheaded,"a. 长头的, 头脑好的, 聪明的"
lengthy,"a. 冗长的, 漫长的"
marked,"a. 有记号的, 显著的, 醒目的
"
bookmark,"n. 书签
"
landmark,"n. 陆标, 划时代的事, 地界标
"
postmark,"n. 邮戳
vt. 盖邮戳于"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
tidemark,"n. 潮痕, 潮水标"
trademark,"n. 商标
"
unmarked,"a. 未被注意的, 无记号的, 无标志的"
marksman,"n. 射手, 狙击兵, 神射手
"
hallmark,"n. 纯度检验证明, 品质证明
vt. 加盖纯度检验证明"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
significance,"n. 重要性, 意义, 意味
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
assign,"vt. 分配, 指派, 赋值
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
consign,"vt. 交付, 储蓄, 委托, 寄存
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
resignation,"n. 辞职, 辞呈, 听从
"
signature,"n. 签字, 识别标志, 调号
"
consignment,"n. 委托
"
signalize,"vt. 使著名, 使显著, 使显眼"
miniskirt,n. 超短裙
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
minimum,"a. 最小的, 最低的
n. 最小值
"
ministry,"n. 部, 内阁, 服务
"
minim,"n. 量滴(液量单位), 一滴, 微量
"
