a case in point,恰当的例子
a sea of,"无限的, 很多的"
a variety of,"各种各样的..., 种种..."
abandon oneself to,沉溺于
above all,"尤其是, 首先"
according to,"根据, 按照；取决于；据…所说"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
adapt to,适应…;适合…
add to,"na. 增加
"
add up to,合计达
adjust to,[计] 调整至
against all odds,尽管很困难
against all the odds,尽管形势不利
again and again,"再三地, 反复地"
ahead of,在…之前
aim at,"v. 目的在于
"
all but,"几乎, 差一点"
all in all,"总而言之, 合计, 头等重要的东西"
all manner of,各种各类的
all the same,仍然
all the way,"从远道, 自始至终, 一路上"
allow for,"虑及, 体谅"
allow of,容许
along with,"与…一道,与…一起,连同…"
and so forth,等等
anything but,"单单除...之外, 决不"
apart from,除了...之外
appeal to,[法] 诉诸...
approve of,"赞成,批准…"
approximate to,"近于,接近"
arise from,"从…中产生,由…而引起"
around the corner,"在拐角处, 在附近, 即将来临"
as a matter of fact,事实上
as a whole,总体上
as far as,"远到, 直到, 至于"
as far as ... be concerned,"就…来说, 就…而论"
so far as ... be concerned,"就…来说, 就…而论"
as follows,如下
as for,至于
as good as,"和...几乎一样, 实际上等于..."
as if,"na. 彷佛；活像
"
as regards,"关于, 至于"
assign to,"un. 指定(时间、地点)；提出(理由等)；分配；分给…用
"
as to,"根据,按照,依照;关于,至于,就…而言"
as well,也
as well as,"也, 又"
aside from,除...以外
associate with,"v. 与…联系
"
at a loss,"困惑, 亏本地"
at a stretch,一口气地
at all costs,不惜任何代价
at all events,无论如何
at all times,一直
at first sight,乍一看
at heart,在内心里
at intervals,"不时, 相隔一定距离"
at large,"未被捕, 详尽, 普遍
"
at leisure,"na. 在闲暇中；从容不迫地；失业
"
at no time,决不
at one time,"同时, 曾经"
at random,"胡乱地, 随便地
"
at the cost of,以...为代价
at the expense of,"归...付费, 在损害...的情况下
"
at the latest,最迟
at the moment,此刻
at the ready, 可立即使用的：立即可以投入使用的
at the risk of,"冒...的危险, 有...的危险/可能"
at this rate,这样的话
