song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
meat,"n. 肉, 餐, 食物
"
noodles,"n. 面条, 挂面（noodle的复数形式）"
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
sweets,n. 糖果；甜食（sweet的复数）
children,"pl. 孩子, 孩子们"
ginger,"n. 姜, 精力, 姜黄色
a. 姜黄色的
vt. 用姜调味, 使活泼, 使有生气"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
mm,"毫米
"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
ice cream,"冰淇淋
"
banana,n. 香蕉
apple,"n. 苹果, 家伙
"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
fruit,"n. 水果, 果类, 结果
"
milkshake,n. 奶昔
Here you are.,"你已经到了,你要的东西在这儿!"
everything,"pron. 每件事物, 所有事物"
tomato,"n. 番茄, 西红柿"
really,"adv. 实际上, 真实地, 实在"
their,pron. 他们的
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
T-shirt,"短袖运动衫,短袖汗衫"
here's,"abbr. (=here is. Here's to you)! 干杯
"
here is,[网络] 这是；是简单的倒装句；在这里
hm,[医] 显性远视
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
too,"adv. 也, 非常, 太"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
doesn't,aux. 表示否定
does not, 不
trousers,"pl. 裤子, 长裤"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
get up,"na. 起床；起身；站起来；叫…起床
"
poster,"n. 海报, 招贴, 驿马"
go to school,上学
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
lunch,n. 午餐
have lunch, 吃午餐
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
go home,回家
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
TV,"n. 电视；电视机
abbr. (=television)
"
watch TV, 看电视
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
hooray,"interj. 万岁
n. 万岁
v. 呼万岁"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
city,"n. 城市, 市
"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
chug,"n. 嘎嚓声
vi. 发出嘎嚓声, 嘎嚓响着前进"
bus,"n. 公共汽车
"
beep,"n. 短而尖的声音, 嘟
v. 嘟嘟响"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
How about ...?," …怎么样, …怎么办"
goes,v. 前进；行走（go的第三人称单数形式）
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
go to work,上班
bike,"n. 自行车, 脚踏车"
with,"prep. 和...在一起, 以, 由于"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
holiday,"n. 假日, 假期, 节日
vi. 度假"
on holiday,"na. 在休假中
"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
watches,n. 手表（watch的复数）
weekend,"n. 周末, 周末休假"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
piano,n. 钢琴
music,"n. 音乐, 乐曲"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
listen to ...,听
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
autumn,"n. 秋天, 成熟期"
skating,n. 溜冰
go skating,去滑冰
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
sunglasses,"n. 太阳镜, 墨镜, 太阳眼镜"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
glove,"n. 手套
vt. 给...戴手套"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
year,"n. 年, 年度, 年龄
"
Happy New Year!, 新年快乐；新春快乐
come in,"进来, 到达, 流行起来, 当选, 到手
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
dumpling,"n. 面团布丁, 团子"
eat,"v. 吃, 腐蚀"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
hair,"n. 头发, 毛发, 些微
"
firecracker,"n. 爆竹, 鞭炮
"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
Christmas,[网络] 圣诞；基督的弥撒
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
dinner,"n. 晚餐, 正餐, 宴会"
