for,"prep. 为, 因为, 至于
conj. 因为
"
different,"a. 不同的
"
bench,"n. 长椅子
"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
let,"vt. 让, 假设, 出租, 排放, 妨碍
vi. 出租, 被承包
n. 出租屋, 障碍"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
sometimes,"adv. 有时, 时常, 往往"
Halloween,n. 万圣节前夕（10月31日夜）
trick or treat, 不请吃就捣蛋（指万圣节孩子们挨家逐户要糖果等礼物，如不遂愿便恶作剧一番的风俗）
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
neighbour,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人
a. 邻接的, 邻近的
vi.vt. 邻近, 与...结邻, 邻接"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
Easter,n. 复活节
chick,"n. 小鸡, 小鸟, 竹帘"
chocolate,"n. 巧克力
a. 巧克力制的"
stories,n. 故事（story的复数）
invitation,"n. 邀请, 请柬, 引诱
"
tidy up,整理
November,n. 十一月
from,"prep. 从, 来自, 根据"
to,"prep. 到, 向, 趋于
adv. 向前"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
whose,pron. 谁的
yours,"pron. 你的(东西), 你们的(东西)"
hers,pron. 她的
both,"a. 两者的
adv. 两者都
pron. 两者"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
That's OK.,[网络] 不用了；可以；没有关系
take away,"adj. 买回去的
"
worker,"n. 工人, 劳动者
"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
true,"a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的
n. 真实, 准确
adv. 真实地, 准确地"
got,"get的过去式和过去分词
"
eighty,"num. 八十, 八十个"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
seventy,"num. 七十, 七十个"
sixty,"num. 六十, 六十个"
useful,"a. 有用的, 有益的
"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
presenter,"n. 节目主持人, 奉献者, 提出者
"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
could,"aux. 可以, 能"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
firefighter,n. <美>消防队员
couldn't,[网络] 不能
could not,"auxv. 能；行；难道会；(可)能
modalv. 会；得；难道会；（表示知道如何做）懂得
n. （盛食品或饮料的）金属罐；一罐（的量）；塑料容器；喷雾罐
v. 把（食品）装罐保存；解雇；让…卷铺盖走人；炒…的鱿鱼
"
often,"adv. 时常, 常常"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
drank,drink的过去式
should,"aux. 应该, 将要"
go to bed,"上床, 睡觉"
shouldn't,"vi. 不该, 不可, 必须不, 不应该, 不应当, 可能不, 可以不, 竟然不, 竟然会不"
should not, 不应该; 不能; 不可
take down,"na. 扯下；卷起；记下；卸下
"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
