drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
drove,"n. 畜群
drive的过去式"
player,"n. 竞赛者, 上场队员, 游戏者, 演员
"
office,"n. 办公室, 部, 公职, 职责
"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
sausage,"n. 香肠, 腊肠"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
fish and chips,n. 炸鱼，加炸土豆片
traditional,"a. 传统的, 惯例的
"
dish,"n. 盘子, 碟, 菜肴
"
delicious,a. 美味的
chicken,"n. 小鸡, 鸡肉"
DVD,abbr. 数字化视频光盘（Digital Video Disk）
librarian,"n. 图书馆员, 图书管理员
"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
borrow,"vt. 借, 借入, 借用
vi. 借
"
sent,send的过去式和过去分词
American,"n. 美国人
a. 美国的, 美洲的"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
interesting,a. 有趣的
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
How much ...?,"多少, 什么价钱, 到什么程度"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
sales assistant,[网络] 销售助理；业务助理；售货员
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
