nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
clever,"a. 聪明的, 精明的"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
a bit,一点儿；有一点儿
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
bad,"a. 坏的
n. 坏
adv. 坏地"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
uncle,"n. 叔父, 伯父, 姨丈"
big,"a. 大的, 重要的
adv. 大量地"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
cute,"a. 可爱的, 聪明的, 伶俐的
"
city,"n. 城市, 市
"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
beautiful,a. 美丽的
whose,pron. 谁的
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
famous,"a. 出名的, 极好的"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
everything,"pron. 每件事物, 所有事物"
one day,有一天
housework,"n. 家事, 家务"
learn,vt. 学习；认识到；得知
our,pron. 我们的
homework,"n. 家庭作业, 家里做的工作
"
won't,[网络] 惯于
will not,无
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
week,"n. 星期, 周"
holiday,"n. 假日, 假期, 节日
vi. 度假"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
why,"adv. 为什么
n. 原因, 理由"
Why not?, 何妨；何不
because,conj. 因为
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
was,be的过去式
am,"be的单数第一人称
"
is,"be的现在式第三人称
"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
grandparent,n. 祖父母
were,be的过去式
are,be的现在时复数或第二人称单数
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
hair,"n. 头发, 毛发, 些微
"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
wasn't,prep. 不是
was not,[网络] 不是；不在世；还不是
weren't,prep. 不是
were not,无
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
