crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
eraser,n. 擦子
glove,"n. 手套
vt. 给...戴手套"
wallet,"n. 皮夹
"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
whose,pron. 谁的
first of all,首先
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
lost and found box,无
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
yours,"pron. 你的(东西), 你们的(东西)"
tape,"n. 带子, 录音带, 磁带, 窄带, 卷尺
vt. 以带子绑起, 测量, 录音
"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
hers,pron. 她的
careful,"a. 小心的, 谨慎的"
be careful with,"当心,注意,节省,对…十分仔细,对…精打细算"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
from now on,从现在开始
here is ...,[网络] 这是；是简单的倒装句；在这里
here are ...,[网络] 这些是；这里是；有一些
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
mobile phone, 移动电话
lost and found office,失物招领处
in a hurry,匆忙
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
why,"adv. 为什么
n. 原因, 理由"
airport,"n. 飞机场
"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
hundreds of,"几百..., 许许多多..."
look for,"寻找, 期待"
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
boat,"n. 船
vi. 乘船
vt. 以船运"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人
v. 生小猪, 象猪般地生活"
sausage,"n. 香肠, 腊肠"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
tennis,n. 网球
piano,n. 钢琴
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
would like, 想要
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
that's all,[网络] 就这样；仅此而已；一三国际
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
worry about,"焦虑..., 为...而操心/担心"
