small talk,闲聊
informal,"a. 非正式的, 不拘礼的, 通俗的
"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
confidently,adv. 自信地；安心地
make friends, 交朋友
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
be nervous about,无
nervous about,无
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
body language,"n. 身体语言, 手势语言（由手势或姿态无意中传递的讯息）, 肢体语言"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
sigh,"n. 叹息
vi. 叹息, 渴望
vt. 叹息着说"
look away from,"v. 视线避开
"
social rules,[网络] 社会规则；社交规则
in addition,另外
find out,"na. 查出；发现；看清…的面目；识破
"
opportunity,"n. 机会, 时机"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
application,"n. 应用, 申请, 志愿书, 应用程序
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
immigration,"n. 移民, 移居
"
visa,"n. 签证
vt. 签发"
impolite,"a. 无礼的, 粗鲁的"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
reception,"n. 接待, 接受, 招待会
"
embassy,"n. 大使馆, 大使馆全体人员
"
certain,"a. 确定的, 某一个的, 必然的
"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
saleswoman,"n. 女售货员, 女店员"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
fax,"n. 传真
vt. 发传真
"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
human being,"人类
"
motto,"n. 箴言, 座右铭, 警句"
put one's foot in one's mouth,v. 做错
shortcoming,"n. 缺点, 短处"
absence,"n. 缺席, 缺乏, 没有
"
as a consequence,"因此, 结果是"
systematic,"a. 有系统的, 分类上的, 体系的
"
coincidence,"n. 巧合, 同时发生
"
customer,"n. 消费者
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
awkward,"a. 笨拙的, 棘手的"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
typist,n. 打字员
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
apology,"n. 道歉, 辩护
"
cautious,"a. 谨慎的, 小心的"
acquaintance,"n. 认识, 相识者"
messy,"a. 散乱的, 污秽的, 麻烦的"
divorce,"n. 离婚
vt. 与...离婚"
cheer sb. up,"v. 鼓舞；振作一点
"
fool,"n. 愚人, 受骗者, 奶油拌水果
vt. 愚弄, 欺骗, 浪费
vi. 干傻事, 开玩笑, 游荡
a. 傻的"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
haircut,"n. 理发, (男子的)发式"
anyhow,"adv. 无论如何, 至少"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
brunch,n. 早午餐
anniversary,n. 周年纪念
hostess,"n. 女主人, 女房东, 女老板"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
factual,"a. 事实的, 实际的
"
genuine,"a. 真正的, 真实的, 诚恳的
"
hospitable,"a. 好客的, 招待周到的"
secretive,"a. 秘密的, 偷偷摸摸的, 分泌的, 促进分泌的"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
define,"vt. 定义, 规定, 使明确
"
be aware of,知道
aware of, 意识到，知道
take the lead,"为首, 带头"
graciously,adv. 和蔼地；仁慈地；雅致地
show off,"炫耀, 卖弄, 使显眼"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
psychologist,"n. 心理学家
"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
formula,"n. 客套语, 公式, 准则
"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
circumstance,"n. 环境, 状况, 事件"
apologise,vi. 道歉（等于apologize）
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
amber,"n. 琥珀, 琥珀色
a. 琥珀色的, 琥珀似的"
spyglass,n. 小望远镜
