mood,"n. 心情, 气氛, 生气, 基调
"
circus,"n. 马戏团, 马戏, 竞技场"
amusement,"n. 兴味, 娱乐, 消遣
"
amusement park,公共游乐场
curly,"a. 拳曲的, 卷毛的, 弯曲的"
wig,"n. 假发, 斥责
vt. 给...戴假发, 激怒, 使发狂
vi. 激动, 发狂"
badge,"n. 徽章, 标记
"
ankle,"n. 踝
"
clown,"n. 小丑, 乡下人"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
health care, 卫生保健
cheer up,"v. 鼓舞；振作一点
"
do the trick,获得成功
examine,"v. 检查, 调查, 考试"
advertisement,"n. 广告, 启事, 广告宣传
"
employer,"n. 雇主, 老板
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
grin,"n. 露齿笑
v. 露齿而笑"
deserve,"vt. 该得到, 值得
vi. 应得报答"
long face,闷闷不乐
laughing stock,n. 笑柄
crack a smile,微笑
practical joke,恶作剧
fame,"n. 名望, 名声, 传说"
linguist,n. 语言学家
witty,"a. 富于机智的, 诙谐的"
medieval,"a. 中古的, 中世纪的"
emotive,"a. 使感动的, 动感情的, 感情的
"
mischievous,"a. 淘气的, 有害的, 恶作剧的, 胡搅的"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
interaction,"n. 交互作用, 交感
"
barber,n. 理发师
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
brand of humour,无
concept,"n. 观念, 概念
"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
put sb. on the spot,"na. 决定暗杀(某人)
"
cruel,"a. 残酷的, 令人极痛苦的
"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
gently,"adv. 温和地, 温柔地, 轻轻地, 逐渐地"
tell off,"na. 数清；分派(工作)；【罕】编号；谴责
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
equation,"n. 相等, 等式, 平衡
"
complicated,"a. 复杂的
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
composer,"n. 作曲家, 作家, 调停者"
fall behind,"落在后面, 拖欠"
debt,"n. 债务, 罪过
"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
rarely,"adv. 很少地, 罕有地"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
rejection,"n. 拒绝, 抛弃, 驳回, 被抛弃的东西, 呕出物
"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
criticism,"n. 批评, 评论, 非难
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
