come to life,苏醒
make ... out of ...,"na. 用…制做…；理解；了解
"
refined,"a. 精炼的, 优雅的, 精细的
"
be connected with,与...相连/联系
charming,"a. 迷人的, 有吸引力的"
domineering,"a. 盛气凌人的, 跋扈的, 专横的, 专制的"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
treat ... as ...,[网络] 对待；当作；当做
be ready to,准备…
pass ...  off as sth.,"冒充成;诈称为;把…假装成…：

He passed himself off as a wealthy man.
他把自己装成一个有钱的人。"
succeed in doing sth.,[网络] 成功做某事；做……成功；成功作某事
complexion,"n. 肤色, 情况, 局面
"
likeable,"a. 可爱的, 值得喜欢的, 迷人的"
recognise ... as ...,无
insensitive,"a. 对...没有感觉的, 感觉迟钝的
"
rather than,与其...不如...
become of," 发生, 结果是"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
slipper,"n. 拖鞋, 制轮器
vt. 用拖鞋打"
thunder,"n. 雷, 雷声
vi. 打雷, 轰隆地响, 怒喝
vt. 大声喊出, 轰隆地发出"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
submission,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见
"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
complain of,"抱怨, 抗议"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
champagne,"n. 香槟酒, 香槟酒色
"
recollect,"vt. 回忆, 回想, 忆起
vi. 回忆"
writhe,"n. 扭动, 盘绕, 苦恼
vt. 扭曲, 缠绕
vi. 蠕动, 扭动身体, 盘绕, 遭受苦难"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
reasonably,"adv. 适度地, 相当地"
irritation,"n. 刺激, 烦恼, 刺激物
"
subjective,"a. 主观的, 个人的
"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
prayer,"n. 祈祷, 恳求, 祷辞, 祈祷者"
impatiently,"adv. 不耐烦, 忍受不了, 急躁, [表]急欲, 急切"
desperation,n. 绝望
enlightened,"a. 有知识的, 进步的, 文明的"
impressed,a. 外加的；印象深刻的；了不起的；受感动的
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
condescend,"vi. 谦逊, 屈就, 堕落"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
munch,"v. 用力咀嚼, 大声咀嚼"
confirmed,"a. 被证实的, 根深蒂固的, 坚定的
"
bachelor,"n. 单身汉, 学士
"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
dreamy,"a. 空幻的, 梦想的"
genial,"a. 和蔼的, 亲切的, 友善的
"
afterthought,n. 事后的想法
chap,"n. 小伙子, 颌, 龟裂
v. 皲裂"
dishonest,"a. 不诚实的
"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
solicitor,"n. (英)律师, 初级律师, (美)法务官, (美)掮客, 游说者, (美)募捐者
"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
decent,"a. 有分寸的, 得体的, 大方的"
morality,"n. 道德, 教训, 品行
"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
take after,"像, 学样
"
hereditary,"a. 世袭的, 遗传的
"
have an influence on,对...有影响
have an enormous influence on,无
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
investigation,"n. 调查, 审查
"
perform an operation,"作…手术,给…动手术"
alter,v. 改变
consequence,"n. 结果, 重要性
"
trait,"n. 特征, 特性, 一笔, 少许"
to a great extent,在很大程度上
in detail,详细地
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
insure,"vt. 保险, 确保
vi. 投保"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
regulatory,"a. 受控制的, 统制的, 调整的
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
molecular,"a. 分子的, 由分子组成的
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
drought,"n. 干旱, 缺乏"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
insecticide,"n. 杀虫剂
"
carcinogen,"n. 致癌物质
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
soybean,"n. 大豆
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
pimento,"n. 西班牙甘椒, 甘椒树"
edible,"n. 食品, 食物
a. 可食用的"
transgenic," 基因改造的, 基因被改变的(gene-altered)"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
inspection,"n. 检验, 检查, 视察
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
indescribably,adv. 不可名状地
frail,"a. 脆弱的, 虚弱的, 意志薄弱的
n. 少女, 少妇, 灯心草篓"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
flaxen,"a. 亚麻的, 亚麻色的, 淡黄色的"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
shudder,"n. 战栗, 发抖
vi. 战栗, 发抖"
dawn,"n. 破晓, 黎明
vi. 破晓"
differentiate,"v. 区别, 区分"
archaeology,n. 考古学
archaeological,"a. 考古学的, 考古学上的"
terracotta,"n. 赤土, 赤陶器, 赤陶, 赤褐色, 一种带褐色的柑子"
warrior,"n. 战士, 勇士, 武士, 鼓吹战争的人, 战斗, 尚武"
clay,"n. 泥土, 肉体, 黏土
"
unify,"v. 统一, 使成一体"
crossbow,"n. 石弓, 弩"
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
inscribe,"vt. 登记, 铭记于, 题写, 雕刻
"
protect ... from ...,保护
tribe,"n. 宗族, 部落, 一群人
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
unsurprisingly,adv. 不出所料的；不出奇的；意料中的
set off,"na. 分；分割；划开；区划
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
prosperity,"n. 繁荣, 茂盛, 成功
"
rival,"n. 对手, 竞争者
a. 竞争的"
feudal,"a. 封建制度的, 封地的, 领地的"
luxurious,"a. 豪华的, 奢侈的, 放纵的"
mausoleum,"n. 陵墓, 阴森森的大厦"
be fully aware of,无
be impressed by, 被…所感动; 对…印象深刻
subsequent,"a. 后来的, 接下去的
"
vault,"n. 拱顶, 窖, 地下室, 撑竿跳, 穹窿
vt. 做成圆拱形, 撑竿跳过
vi. 成穹状弯曲, 跳跃"
formation,"n. 形成, 构造, 编队
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
reproduction,"n. 再现, 复制, 生殖, 繁殖, 复制品
"
stylised,"风格化
格式化的
非写实的"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
inner,"a. 内部的, 内心的
n. 内部"
centralise,"vt. 形成中心, 把统治权集中于中央, 把...集中起来, 成为...的中心, 集中"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
"
chubby,a. 圆胖的
naively,adv. 无邪地；天真烂漫地
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
distinction,n. 区别
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
stance,"n. 准备击球姿势, 站立的姿势, 位置, 姿态
"
infantryman,n. 步兵
archer,"n. 弓箭手, 射箭运动员"
all in all,"总而言之, 合计, 头等重要的东西"
portray,"vt. 描绘, 描写, 描绘...的肖像"
invaluable,"a. 无价的, 价值无法衡量的"
banish,"vt. 驱逐, 消除
"
raiment,n. 衣服
gem,"n. 珠宝, 宝石, 珍贵之物
vt. 饰以宝石"
stud,"n. 装饰钮扣, 大头钉, 领扣, 种马
vt. 镶嵌, 点缀, 散布"
bedecked,"a. 用（旗子或花等）装饰的
v. 装饰, 打扮某物/某人( bedeck的过去式和过去分词 )"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
pendant,"n. 垂饰, 下垂物, 补充的东西, 补编
"
undismayed,"a. 无恐惧的, 未灰心的, 不泄气的"
serpent,"n. 巨蛇座, 蛇, 蛇形管, 狡猾的人"
roam,"v. 漫游, 闲逛, 徜徉
n. 漫步, 漫游"
bestride,"vt. 跨骑, 横跨, 跨过, 控制"
outlast,"vt. 比...长久, 从...中逃生"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
ford,"n. 浅滩, 福特汽车
v. 涉过, 涉水"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
oar,"n. 桨, 桨手, 搅棒
vi. 划桨
vt. 划动"
whirlpool,"n. 漩涡, 涡流
"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
conscience,"n. 良心
"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
mandarin,"n. 中国官话, 国语, 满清官吏, 柑橘
a. (中国式)紧身马褂的"
apart from,除了...之外
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
Muslim,"n. 伊斯兰教, 伊斯兰教教徒"
under the control of,"受...的控制
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
more or less,或多或少
be based on,"以…为基础,以…为根据"
on average, 平均起来
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
definition,"n. 定义, 精确度, 清晰度
"
ceremonial,"n. 仪式
a. 正式的"
outlook,"n. 观点, 景色, 前途, 了望
"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
refer to ... as ...,"v. 提交；归类；称谓
"
enthusiasm,"n. 巨大的热情, 热心"
inquiry,"n. 质询, 探索, 调查, 询盘
"
distort,"vt. 扭曲, 歪曲
"
