brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
circumstance,"n. 环境, 状况, 事件"
subsequent,"a. 后来的, 接下去的
"
fate,"n. 命运, 运气
vt. 注定"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
downfall,"n. 衰败, 大雨"
employment,"n. 雇用, 职业, 工作
"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
arrestable,a. 可逮捕的
offence,"n. 犯罪, 冒犯, 违反, 罪过, 过错, 攻击
"
straight face,n. 不显现表情的脸
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
doorstep,n. 门阶
counterculture,n. 反主流文化
unconcerned,"a. 漠不关心的
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
conversational,"a. 会话的, 对话的, 健谈的
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
belief,"n. 信念, 相信, 信仰"
thoroughly,"adv. 彻底地, 绝对地, 透彻地, 详尽地, 周到地, 完全地, 完善地, 全面地"
thorough,"a. 十分的, 彻底的"
disreputable,"a. 名誉不好的, 不光彩的, 声名狼藉的"
worldly,"a. 世间的, 世俗的, 世上的"
au fait,"a. <法>熟悉的,精通的,能上任的"
aha,interj. 啊哈
unemployed,"a. 失业的, 未被利用的
"
magistrate,"n. 长官, 法官, 推事
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
solicitor,"n. (英)律师, 初级律师, (美)法务官, (美)掮客, 游说者, (美)募捐者
"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
courtroom,"n. 法庭, 审判室
"
gloomily,adv. 阴暗地; 阴沉地; 阴郁地; 忧郁地
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
reproachfully,adv. 责备地
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
presumably,"adv. 推测上, 大概"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
take sb. to court,[网络] 把……告上法庭；打官司；把某人告上法庭
a couple of,"一对..., 三两个..."
save up,"储蓄, 贮存"
take one's time,从容不迫
call on,"号召, 呼吁, 约请, 访问"
stand a chance,"有可能, 有希望"
revolve around," 旋转, 绕转; 环绕"
turn against,"na. 背叛；使对抗；厌恶
"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
cop,"n. 警官
vt. 抓住"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
await,"vt. 等候
vi. 等待着"
insurance,"n. 保险, 保险业, 保险费
"
legal,"a. 法律的, 法定的, 合法的
"
expense,"n. 费用, 代价, 开支, 损失
"
fruitful,"a. 结果实的, 多实的, 产量多的"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
limitation,"n. 限制, 缺陷, 限额
"
refocus,vt. 重调…的焦距
parameter,"n. 参变数, 参变量, 参数, 参量
"
version,"n. 一种描述, 版本, 译文
"
sesame,"n. 芝麻
"
strawberry,n. 草莓
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
purist,n. 纯粹主义者
salad,n. 色拉
outdo,"vt. 超越, 胜过, 战胜"
sibling,"n. 兄弟, 同胞
"
vine,"n. 藤本植物, 葡萄, 藤, 蔓
vi. 形成藤蔓"
definitely,"adv. 明确无疑地, 清楚地"
definite,"a. 明确的, 一定的
"
messy,"a. 散乱的, 污秽的, 麻烦的"
readjust,"vt. 重新调整, 再调整
"
rename,"vt. 重新命名, 再命名, 给...改名
"
vaccination,"n. 接种疫苗, 种痘
"
smallpox,"n. 天花
"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
pox,"n. 痘病, 痘, 瘟疫
"
vaccinate,v. 预防接种
redefine,"vt. 重新定义
"
reframe,"vt. 再构造, 重新制订, 再组织, 给...装上新框架"
workbook,"n. 辅助练习册, 工作规程书, 工作记事簿, 笔记本, 工作手册
"
inventor,"n. 发明家
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
potent,"a. 有力的, 有说服力的, 有效的
"
shifter,"n. 搬移东西者, 回避论点者, 领班, 辅助工, 移动装置, 开关
"
critique,"n. 评论文章, 评论"
lord,"n. 统治者, 阁下, 上帝
vi. 称王, 作威作福
vt. 使成贵族"
reminder,"n. 提醒的人, 暗示
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
ever-growing,adj. 不断增长
online,[计] 联机
digitally,adv. 数位
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
web,"n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸
vi. 结网, 形成网
vt. 织蜘蛛网于, 使落入圈套"
download,"[计] 卸载, 下栽"
data,"pl. 资料, 数据
"
instantaneously,"adv. 即刻, 立即"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
highway,"n. 公路, 大道, 捷径
"
nowhere,"adv. 无处, 到处都无"
Earth-shattering,a. 惊天动地的；令人震惊的
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
pun,"n. 双关语, 俏皮话
vi. 说双关语, 说俏皮话
vt. 用双关语说服, 捣实"
intend,"vt. 计划, 打算, 意思是
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
preventive,"a. 预防的, 防止的
n. 防止物, 预防方法, 预防药"
downshift,v. (汽车等)调低速档
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
think up,"na. 想出；〔口语〕发明
"
in short,"简而言之
"
bring up,"na. 抚养；教导；教育；在…长大
"
administrative,"a. 管理的, 行政的
"
administration,"n. 行政, 管理, 政府机关
"
step up,"v. 加紧；走上前；登上；增加
"
step-up,"v. 加紧；走上前；登上；增加
"
mechanic,"n. 机械工, 技工
a. 手工的"
sweaty,"a. 出汗的, 吃力的"
