admission,"n. 准许进入, 入场费, 录用, 承认
"
adoption,"n. 采用, 采纳, 收养
"
advancement,"n. 前进, 进步, 提升
"
advantageous,"a. 有利的, 有益的"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
agenda,"pl. 议程, 日常工作事项
"
agile,"a. 敏捷的, 灵活的, 机敏的"
aimless,"a. 无目的的, 没有目标的"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
antagonism,"n. 对立, 敌对, 敌意
"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
attractive,"a. 吸引人的, 有魅力的
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
civil,"a. 市民的, 公民的, 有礼貌的
"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
controversial,"a. 争论的, 论争的, 被议论的"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
distract,"vt. 转移, 分心, 使发狂"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
exert,"vt. 发挥, 运用, 施以影响
"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
inexorable,"a. 无情的, 冷酷的"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
justifiable,"a. 可辩解的, 可证明的, 有理的
"
landowner,"n. 地主
"
lush,"a. 苍翠繁茂的, 多青草的, 丰富的
n. 酒, 酒鬼
v. 饮"
militant,a. 好战的
minimal,"a. 最小的, 极微的, 最小限度的
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
obscurity,"n. 阴暗, 朦胧, 晦涩, 费解, 身份低微"
obstruction,"n. 障碍, 妨碍, 闭塞物
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
odor,"n. 气味, 香味, 名声, 意味
"
offense,"n. 犯罪, 伤感情, 攻击"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
outlaw,"n. 被剥夺法律保护的人, 罪犯
vt. 使...失去法律保护, 将...逐出社会, 宣告非法, 取缔"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
predict,"v. 预知, 预言, 预报"
predominant,"a. 占主导地位的, 卓越的
"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
