season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
rainy,"a. 下雨的, 多雨的"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
look at,"看, 考虑, 着眼于"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
leaves,"pl. 树叶, 花瓣"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
hang glider, 悬挂式滑翔机； 从事悬挂式滑翔机运动的人
month,"n. 月
"
January,n. 一月
February,n. 二月
March,abbr. Master of Architecture 建筑学硕士
April,n. 四月
May,"n. 五月
aux. 愿能, 可以, 愿意"
June,n. 六月
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
winter holiday,[网络] 寒假；冬季假期；冬季节日
go ice-skating,无
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
beach,n. 海滩
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
July,n. 七月
August,"n. 八月
a. 威严的, 令人敬畏的"
September,n. 九月
October,n. 十月
November,n. 十一月
December,n. 十二月
1st,abbr. 第一（first）
2nd, 第二(second)
3rd, 第三(third)
4th, 第四(fourth)
20th,无
21st,无
22nd,无
23rd,无
30th,无
31st,无
birthday,n. 生日
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
grandma,"n. 奶奶, 外婆"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
pencil case,铅笔盒
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
blackboard,n. 黑板
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
any,"a. 任何的
pron. 任何"
but,"prep. 除了
conj. 但是
adv. 仅仅"
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
color,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
sugar,"n. 糖, 糖块, 甜言蜜语
vt. 加糖于, 使甜蜜, 粉饰, 美化
vi. 制成糖"
meat,"n. 肉, 餐, 食物
"
vegetables,n. 菜类；蔬菜（vegetable的复数形式）
tofu,n. 豆腐
fruit,"n. 水果, 果类, 结果
"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
and,"conj. 和, 与
"
forty,"num. 四十, 四十个"
fifty,"num. 五十, 五十个"
sixty,"num. 六十, 六十个"
seventy,"num. 七十, 七十个"
eighty,"num. 八十, 八十个"
ninety,"num. 九十, 九十个"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
one hundred, 一百
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
dollar,"n. 美元, 元(加、澳等国货币单位)
"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
