used,"a. 使用过的, 二手的, 习惯的"
studied,"a. 有计划的, 慎重的"
played,v. 玩耍；演奏；播放；参加竞赛（play的过去分词）
visited,"v. 拜访, 访问（visit的过去式）"
ran,run的过去式
talked,"n. 讲话, 交谈 talk的过去式
v. 说( talk的过去式和过去分词 ); 讨论; 说话; （用以强调款额、情况严重程度等）讲的是"
jumped,v. 跳跃（jump的过去分词）
cleaned,v. （使）清洁( clean的过去式和过去分词 ); 变干净; 除去…的灰尘; 使…干净
watched,"vt. 注视, 注意（watch的过去式与过去分词形式）"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
last night,昨晚
the day before yesterday,前天
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
went,go的过去式
ate,"eat的过去式
"
wrote,write的过去式
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
made,"a. 人工制成的, 成功的, 创造的
make的过去式和过去分词"
rode,ride的过去式
sang,sing的过去式
drank,drink的过去式
beautiful,a. 美丽的
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
chicken,"n. 小鸡, 鸡肉"
anything,pron. 任何事
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
lamp,"n. 灯
vt. 照亮
"
won,win的过去式和过去分词
ate some cotton candy,无
had fun with friends,无
woke,wake的过去式和过去分词
missed,v. 投偏；未抓住；错过（miss的过去分词）
forgot,forget的过去式和过去分词
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
happened,"v. 发生（happen的过去式, 过去分词）"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
really,"adv. 实际上, 真实地, 实在"
tired,"a. 疲累的, 疲乏的, 厌倦的"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
sad,"a. 忧愁的, 悲哀的"
stayed,"v. 停留, 制止（stay的过去分词形式）"
stay up late, 深夜不睡，迟睡; 熬夜
heard,hear的过去式和过去分词
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
got,"get的过去式和过去分词
"
kitten,"n. 小猫, 淘气姑娘
vt. 产仔, 卖弄风情"
got a poor grade,无
because,conj. 因为
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
mountain,"n. 山, 山脉, 大堆"
why,"adv. 为什么
n. 原因, 理由"
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
angry,"a. 生气的, 愤怒的"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
turn on,"na. 转向；对…进行突击
"
turn on the light,"na. 开电灯
"
turn off,"v. 关掉
"
turn off the TV,无
put away,"v. 把…收起来；储存
"
put away your books,无
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
trash,"n. 垃圾, 废物
vt. 丢弃"
put on,"na. 假话
"
put on your jacket,无
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
hang up your clothes,无
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
in a minute,"马上, 立刻"
later,"adv. 以后, 随后"
carried,a. 入神的；被运的；忘我的
pushed,"a. 拮据的, 紧张的, 没空的, 忙"
gave,give的过去式
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
dropped,a. 抛踢球得分的
pulled,a. 牵引的；扯下来的
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
careful,"a. 小心的, 谨慎的"
dangerous,"a. 危险的
"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
hurry up,"赶快, 匆匆完成"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
