teachers' office,无
classroom,n. 教室
hall,"n. 门厅, 走廊, 会堂"
library,"n. 图书馆, 藏书, 库
"
music room,音乐室
art room,美术教室
gym,"n. +体育馆, 体育训练, 体育课, 体操"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
too,"adv. 也, 非常, 太"
of course,当然
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
living room,"客厅, 起居室"
dining room,饭厅
bedroom,n. 卧室
kitchen,"n. 厨房, 全套炊具
"
bathroom,"n. 浴室, 厕所"
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
everyone,"pron. 每个人, 人人
"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
movie theater,电影院
swimming pool,n. 游泳池
hospital,"n. 医院
"
bank,"n. 银行, 堤, 岸
"
shopping mall,n. 大型购物中心
restaurant,"n. 餐馆, 饭店"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
supermarket,"n. 超级市场
"
beach,n. 海滩
bus,"n. 公共汽车
"
go to the zoo,无
buy an ice cream,无
call ... friend,无
call my friend,无
borrow a book,无
watch TV, 看电视
listen to a song,无
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
come back,"回来, 在记忆中重现, 复辟, 恢复, 回签"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
shorts,"n. 短裤, (美)男人的短衬裤
"
shirt,"n. 衬衫, 内衣, 汗衫"
T-shirt,"短袖运动衫,短袖汗衫"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
shoes,n. 鞋子（shoe的复数）
whose,pron. 谁的
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
firefighter,n. <美>消防队员
police officer,n. 警察
writer,"n. 作家, 撰稿者, 抄写员
"
office worker,上班族
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
teacher,"n. 教师, 老师, 导师"
magician,"n. 魔术家, 幻术家, 术士"
listen to music, 听音乐
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
play cards,"na. 打纸牌
"
make models,无
hobby,"n. 嗜好, 癖好, 爱好"
ice skate,溜冰鞋
go to the park,无
see a movie,看电影
play outside,[网络] 出去玩；外出游玩；在外面玩
read a story,无
surf the Internet, 网上冲浪
bored,a. 无聊的；烦人的；无趣的
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
snowman,n. 雪人
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
