hobby,"n. 嗜好, 癖好, 爱好"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
than,"conj. 比, 除...外
prep. 比"
more than ...,"比...多, 超出预料, 很, 绰绰"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
animal,"n. 动物
"
every,"a. 每一, 所有的"
during,prep. 在...的时候
coloured,"a. 有色的, 有...色的, 经过渲染的, 有色彩的, 伪装的, 有色人种的, 混血种的
n. 有色人种的人, 混血人
"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
drawing,"n. 图画, 制图, 拉
"
ability,"n. 能力, 才干
"
That's right.,[网络] 没错；是的；对
together,"adv. 一起, 共同, 彼此"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
talking,"a. 说话的, 多嘴的, 富有表情的
n. 讲话, 谈论"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
maybe,"adv. 也许, 大概
n. 可能性"
weekday,"n. 周日, 平日
"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
look for,"寻找, 期待"
ice cream,"冰淇淋
"
weekend,"n. 周末, 周末休假"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
early,"a. 早的, 早熟的
adv. 很早, 初"
Mrs,n. 先生
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
son,"n. 儿子, 女婿, 子孙
"
palace,"n. 宫, 宫殿, 华丽大厦"
Children's Palace,少年宫
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
have some fun,无
cinema,"n. 电影院, 电影"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
coffee,"n. 咖啡, 咖啡色
"
tea,"n. 茶, 茶叶
"
uh,int. 嗯啊
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
a cup of ...,一杯…
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
something,"pron. 某事, 某物"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
coke,"n. 可口可乐, 焦炭
v. (使)成焦炭"
