colourful,"a. 颜色丰富的, 鲜艳的, 艳丽的, 多色的, 丰富多彩的, 吸引人的, 引人入胜的
"
prefer,"vt. 宁可, 较喜欢, 提出
"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
autumn,"n. 秋天, 成熟期"
ski,"n. 滑雪橇
vi. 滑雪"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
go camping,去野营
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
classmate,n. 同班同学
Australia,"n. 澳洲, 澳大利亚"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
China,"n. 中国, 瓷器
a. 中国的"
too ... to ...,[网络] 太……而不能；太……以致不能；用法
if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
Why?,"adv. 为何；（反问，表示不必）何必；（说明理由）为什么
n. 原因；难解的问题
int. 嗨
"
be going to,将要；打算
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
month,"n. 月
"
museum,n. 博物馆
meeting,"n. 会议, 会面
"
open day,"n. 接待日, 可参观的日子"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
third,"num. 第三, 三分之一
"
fifth,"num. 第五, 五分之一"
eighth,"num. 第八, 八分之一"
ninth,"num. 第九, 九分之一"
have a good time,过得快乐
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
mountain,"n. 山, 山脉, 大堆"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
mountain climbing, 爬山
beach,n. 海滩
deer,n. 鹿
noon,"n. 正午, 中午, 全盛期"
invitation,"n. 邀请, 请柬, 引诱
"
would,"aux. 将, 愿意"
Would you like ...?,[网络] 你愿意；你愿意……吗；你想要---吗
hey,interj. 嗨
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
gate,"n. 门, 牌楼, 大门, 通道, 闸
vt. 装门于
"
a.m.,"abbr. 调幅；振幅调制；议员（威尔士议会成员）
"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
Oh dear!,[网络] 哎呀；天呐；天啊
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
No problem., 不麻烦;  没什么;  没事儿; 非常容易
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
supermarket,"n. 超级市场
"
I'd like to ...,无
I would like to ...,[网络] 我愿意；我想；我想要
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
begin,"v. 开始
"
arrive,"vi. 到达, 抵达"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
exciting,"a. 令人兴奋的, 刺激的
"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
New York,纽约
America,"n. 美洲, 美国"
Hong Kong,"香港
"
American,"n. 美国人
a. 美国的, 美洲的"
Australian,"n. 澳大利亚人
a. 澳大利亚的, 澳洲的, 澳洲人的"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
hotel,"n. 旅馆, 客栈"
on foot,"na. 步行；在进行中；徒步
"
