steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
won,win的过去式和过去分词
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
such,"a. 如此的, 这样的"
in such a hurry,[网络] 如此匆忙；也是如此的匆忙；如此繁忙
silly,"a. 愚蠢的, 糊涂的"
hare,"n. 野兔
vi. 飞跑"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
meant,mean的过去式和过去分词
tortoise,"n. 龟, 行动迟缓的人"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
sad,"a. 忧愁的, 悲哀的"
harder,a. 更难的；更努力的；更坚固的（hard的比较级）
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
pick up,"v. 拾起；探出；重新开始
"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
himself,"pron. 他自己, 他亲自"
from then on,从那时起
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
all day long,整天
appear,"vi. 出现, 显得, 来到
"
go for it, 放手向前，努力争取
happen,"vi. 发生, 发生, 恰巧"
happen to,"碰巧,偶然;发生于"
difficult,a. 困难的
frog,"n. 青蛙
"
kangaroo,"n. 袋鼠
"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
ocean,"n. 海洋, 广阔, 许多, 一大片
"
starfish,n. 海星
Africa,n. 非洲
tiger,"n. 老虎, 虎, 凶暴的人"
Asia,n. 亚洲
be called,被叫做…；被称为…
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
panda,"n. 大熊猫, 小熊猫"
bamboo,"n. 竹子
"
elephant,n. 象
giraffe,"n. 长颈鹿, 鹿豹座"
neck,"n. 脖子, 衣领, 颈
vi. 拥抱, 拥吻, 收缩
vt. 割颈"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
leaves,"pl. 树叶, 花瓣"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
earth,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
danger,"n. 危险, 威胁
"
in danger,在危险中
disappear,"vi. 消失, 不见"
forever,adv. 永远
forest,"n. 森林, 林区
vt. 植树于"
pollute,"vt. 污染, 弄脏, 玷污
"
made,"a. 人工制成的, 成功的, 创造的
make的过去式和过去分词"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
be made from,"用…制造,由…制成"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
sea,"n. 海, 海洋, 海浪, 大量
"
famous,"a. 出名的, 极好的"
Dr,"abbr. （书写形式）医生；（用于街道名）路
n. 【摄】动态范围
"
Doctor,"n. 医生；博士
vt. 修理；窜改，伪造；为…治病；授以博士学位
vi. 就医；行医"
person,"n. 人, 人身, 人称
"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
leader,"n. 领导者, 社论, 指挥, 领袖, 领唱者, 前导字符
"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
inventor,"n. 发明家
"
invent,"vt. 发明, 创作, 虚构
"
bulb,"n. 球茎, 电灯泡
"
light bulb,n. 灯泡
actor,"n. 男演员, 行动者
"
movie,n. 电影
musician,"n. 音乐家, 乐师, 作曲家"
iPad,n. 苹果平板电脑
probably,"adv. 大概, 或许"
come true,"实现, 成为事实"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
game-maker,"un. 场上组织进攻的队员
"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
once again,再一次
successful,"a. 成功的, 一帆风顺的, 顺利的
"
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
"
biggest,a. 最大的（big的最高级）
