bedroom,n. 卧室
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
next to,几乎
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
door,n. 门
computer,"n. 电脑, 电子计算机
"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
between,prep. 在...之间
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
for,"prep. 为, 因为, 至于
conj. 因为
"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
sofa,n. 沙发
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
welcome to, 欢迎…
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
come in,"进来, 到达, 流行起来, 当选, 到手
"
living room,"客厅, 起居室"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
Here it is!,在这里；给你；给你看看
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
kitchen,"n. 厨房, 全套炊具
"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
beautiful,a. 美丽的
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
building,"n. 建筑物, 建筑
"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
after school,放学后
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
bathroom,"n. 浴室, 厕所"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
take a shower,洗淋浴
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
have meals,[网络] 吃饭；吃饭了；用餐
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
do,"v. 做, 进行, 完成"
homework,"n. 家庭作业, 家里做的工作
"
do one's homework,做家庭作业; 做必要的准备工作
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
our,pron. 我们的
classroom,n. 教室
library,"n. 图书馆, 藏书, 库
"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
swimming pool,n. 游泳池
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
sometimes,"adv. 有时, 时常, 往往"
PE,"n. 体育（课）（全写为 physical education）
"
music,"n. 音乐, 乐曲"
lesson,"n. 课, 课业, 教训"
have lessons, 上课
teachers' room,无
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
hall,"n. 门厅, 走廊, 会堂"
dining hall, 大餐厅，食堂; 饭厅; 大食堂
gym,"n. +体育馆, 体育训练, 体育课, 体操"
eat,"v. 吃, 腐蚀"
or,"conj. 或, 或者
"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
eleven,"num. 十一, 十一个"
twelve,"num. 十二, 十二个"
thirteen,"num. 十三, 十三个"
fifteen,"num. 十五, 十五个"
eighteen,"num. 十八, 十八个"
twenty,"num. 二十, 二十个"
thirty,"num. 三十, 三十个"
forty,"num. 四十, 四十个"
fifty,"num. 五十, 五十个"
eighty,"num. 八十, 八十个"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
does,v. 做；工作；有用（do的第三人称单数形式）
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
blackboard,n. 黑板
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
Let me see.,"让我看看,让我想想,嗯"
winner,"n. 胜利者, 优胜者
"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
maths,n. 数学
best,"a. 最好的
adv. 最好地
n. 最好的人"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
What about ...?,adv. 怎么样，以为如何（提出建议或用以引出话题）
And you?,[网络] 而你；你呢；和你
everything,"pron. 每件事物, 所有事物"
learn,vt. 学习；认识到；得知
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
sport,"n. 运动, 游戏, 娱乐, 消遣, 玩笑
a. 运动的, 户外穿戴的
vi. 游戏, 参加体育运动, 戏弄, 产生变种
vt. 炫耀, 使产生变种"
science,"n. 科学, 学科, 学问, 自然科学
"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
