progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
professor,n. 教授
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
predict,"v. 预知, 预言, 预报"
prevent,"v. 预防, 防止, 阻止, 妨碍"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
"
percent,"n. 百分比, 百分数, 部分
"
person,"n. 人, 人身, 人称
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
rely,"vi. 信赖, 依赖, 信任"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
republic,"n. 共和国, 共和政体, 团体, 界"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
decrease,"n. 减少, 减少量
v. 减少"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
