economy,"n. 经济, 理财, 节约
"
economic,"a. 经济上的, 实用的, 节省的
"
economical,"a. 节俭的, 经济的, 合算的
"
economics,"n. 经济学
"
economist,"n. 经济学者, 经济家
"
ecology,"n. 生态学, 社会生态学
"
ecological,"a. 生态学的, 主张生态保护的
"
ecosystem,"n. 生态系统
"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
partially,"adv. 部分地, 一部分地, 不公平地"
partly,"adv. 部分地, 在一定程度上"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
partnership,"n. 合伙, 合股, 合作关系
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
participation,"n. 参与, 分享
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
partition,"n. 分割, 隔离物, 隔墙, 财产分割
vt. 区分, 瓜分, 隔开, 分割
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
departure,"n. 离开, 出发, 违背, 偏离
"
impart,"vt. 给予, 传授, 告知"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
statement,"n. 陈述, 指令, 声明
"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
statue,"vt. 以雕像装饰
n. 雕像"
statutory,"a. 法令的, 法定的, 可依法惩处的
"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
statistic,"n. 统计量
a. 统计的, 统计学的"
statistical,"a. 统计的, 统计上的, 统计学的
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
