will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
willing,"a. 乐意的, 自愿的, 甘愿的"
willingly,"adv. 自动地, 欣然地"
willingness,"n. 乐意, 心甘情愿, 愿意"
unwilling,"a. 不愿意的, 勉强的
"
from,"prep. 从, 来自, 根据"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
frontier,"n. 边界, 边境
"
but,"prep. 除了
conj. 但是
adv. 仅仅"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
butterfly,"n. 蝴蝶
"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
not,"adv. 不, 非, 未
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
god,"n. 上帝, 神像, 偶像
vt. 使神化"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
goldfish,n. 金鱼
golf,"n. 高尔夫球
vi. 打高尔夫球"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
making,"n. 制造, (手工)制造业, 制作, 形成, 发展, 要素, 内在因素, 赚头, 制造物"
maker,"n. 制造者, 上帝
"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
timetable,n. 时间表
say,"vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权"
saying,"n. 叙述, 话, 说, 言论"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
allow for,"虑及, 体谅"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
allocate,"vt. 分派, 分配
"
allergic,"a. 对...过敏的, 极反感的
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
year,"n. 年, 年度, 年龄
"
yearly,"a. 每年的, 一年一度的
adv. 一年一次, 每年"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
worker,"n. 工人, 劳动者
"
working,"n. 工作, 运转, 劳动
a. 工作的, 劳动的, 经营的, 抽搐的, 运转的"
workday,"n. 工作日, (一天的)工作时数
"
workforce,"n. 劳动力；工人总数, 职工总数"
workload,"n. 工作量
"
workmate,"n. 共同工作者, 同事"
workplace,"n. 工作场所, 工厂, 车间"
workshop,"n. 工场, 车间, 研讨会
"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
reuse,"vt. 再使用
n. 重新使用"
come round to,改变主意
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
useful,"a. 有用的, 有益的
"
