abridge,"vt. 缩短, 删节, 减少, 剥夺
"
abut,"v. 邻接, 毗邻"
amass,"vt. 积聚, 堆积"
amuse,"vt. 消遣, 娱乐, 使发笑"
available,"a. 可利用的, 可获得的, 有效的
"
avenge,"vt. 为...报复, 报仇"
aware,"a. 知道的, 有觉悟的"
ablaze,"a. 着火的, 闪亮的, 激昂的
adv. 着火, 闪耀"
abreast,"adv. 并肩地, 并列地"
adroit,"a. 灵巧的, 敏捷的, 聪明的"
afloat,"a. 飘浮着的, 在海上的, 浸满水的, 在进行中的
adv. 飘浮着, 在海上, 浸满水, 在进行中"
afoul,"adv. 冲撞着
"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
aloft,"adv. 在高处, 在上"
aloof,"a. 远离的, 冷淡的
adv. 远离, 冷漠超然地"
amenable,"a. 服从的, 会接纳的, 有义务的
"
amid,"prep. 在其间, 在其中
"
abysmal,"a. 深不可测的, 无底的"
atom,"n. 原子, 核能, 微粒, 微量
"
atrophy,"n. 萎缩, 萎缩症
"
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abort,"vi. 流产, 中途失败
vt. 使流产, 使失败, 使中止"
abound,"vi. 大量存在, 富于, 充满"
abrasion,"n. 磨擦, 磨损, 磨损处
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
absence,"n. 缺席, 缺乏, 没有
"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
absorption,"n. 吸收, 专心, 全神贯注
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
abundant,"a. 丰富的, 充分的, 大量的"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accomplished,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的"
accumulate,"v. 积聚, 堆积"
accurate,"a. 正确的, 精确的
"
accustom,vt. 使习惯于
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
assail,"vt. 攻击, 质问
"
asset,"n. 资产, 有益的东西"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acquiesce,"vi. 默许, 默然同意"
acquit,"vt. 无罪释放, 表现, 使履行
"
adequate,"a. 适当的, 足够的
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
advisable,"a. 适当的, 明智的"
affirm,"v. 断言, 确认"
afflict,"vt. 使苦恼, 折磨"
aggravate,"vt. 使恶化, 使更严重, 加重"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
announcement,"n. 公告, 发表, 告知
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
assert,"vt. 主张, 坚称, 断言
"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
apply,"vt. 涂, 应用
vi. 申请, 适用"
apprehend,"vt. 理解, 忧虑, 逮捕
vi. 担心, 理解"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
attire,"n. 服装, 盛装
vt. 使穿衣, 打扮"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
accelerate,"v. 加速, 促进"
acquaint,"vt. 使认识, 介绍"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
annul,"vt. 废除, 宣告无效, 取消
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
attenuate,"a. 纤细的, 稀薄的, 稀释的
vt. 使减弱, 使纤细
vi. 变稀薄, 变纤细, 减少
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
belie,"vt. 掩饰, 与...不符, 使失望"
bequeath,"vt. 遗赠, 遗留
"
besiege,"vt. 围攻, 包围"
bestow,"vt. 授予, 使用, 贮藏, 留宿"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
beneficent,"a. 仁慈的, 慈善的, 善行的"
benefit,"n. 利益
vt. 有益于
vi. 受益"
benevolent,"a. 善意的, 慈善的"
benign,"a. 善良的, 良性的
"
biannual,"a. 一年两次的
"
bicameral,"a. 两院制的, 有两个议院的
"
bilateral,"a. 有两边的, 双边的, 双方的
"
bilingualism,n. 使用两种语言
binary,"a. 由两部分组成的, 二进位的, 二元的
"
biped,"n. 两足动物
a. 有两足的"
bisect,"v. 分成两部份, 对分"
coalition,"n. 结合体, 结合, 联合
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
coefficient,"n. 系数
"
coexist,vi. 共存
cohabitation,[医] 同居
cohere,"vi. 附着, 粘着, 凝聚, 一致
"
collaborate,"vi. 合作, 勾结
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
colleague,"n. 同事, 同僚"
collide,"vi. 碰撞, 互撞, 抵触"
collision,"n. 碰撞, 冲突, 抵触
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
comparison,"n. 比较, 对照, 比喻
"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
compel,"vt. 强迫, 迫使"
compile,"vt. 编译, 编辑, 编纂, 收集
"
composer,"n. 作曲家, 作家, 调停者"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentration,"n. 集中, 专心
"
concentric,"a. 同中心的, 同轴的
"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
concomitant,"a. 相伴的, 伴随的, 共存的
n. 伴随物"
concord,"n. 一致, 和睦, 协定"
concur,"vi. 同意, 一致, 同时发生
"
condole,"vi. 哀悼, 慰问, 吊唁"
configuration,"n. 结构, 表面配置, 外形, 配置
"
confiscate,"vt. 没收, 把...充公, 查抄
a. 被没收的"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
conjure,"vt. 念咒文召唤, 变戏法, 想象
vi. 变戏法, 施魔法"
consonant,"n. 辅音
a. 一致的, 调和的"
consort,"n. 配偶, 夫妻
vi. 陪伴, 结交, 符合
vt. 使结合"
constricted,"v. 压缩, 压紧, 使收缩( constrict的过去式和过去分词)"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
convection,"n. 传送, 对流, 传导
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
cooperation,"n. 合作, 协力, 配合
"
commemorate,vt. 纪念
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
concave,"a. 凹的
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
conceit,"n. 自负, 空想, 狂妄"
condensation,"n. 压缩, 凝缩, 冷凝
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
contempt,"n. 轻视, 轻蔑
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
convince,"vt. 说服, 使相信
"
corrosion,"n. 腐蚀, 侵蚀, 腐蚀产生的物质, 铁锈, 锈
"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
console,"vt. 安慰, 藉慰
n. 控制台
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
controversy,"n. 论争, 辩论, 论战, 争论
"
declare,"v. 宣布, 声明, 申报, 断言"
debris,"n. 碎片, 残骸
"
decipher,"vt. 译解, 解释
n. 密电译文"
decode,"vt. 解码, 译解
"
defense,"n. 防卫, 防卫物
"
dehydrate,"vt. (使)脱水
"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
deploy,"v. 展开, 配置"
decompose,"v. 分解, (使)腐烂"
desegregate,v. 废止种族隔离
deserted,"a. 被遗弃的, 废弃的
"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
decree,"n. 法令, 判决, 天意
vt. 颁布, 判决
vi. 发布命令"
depict,"vt. 描述, 描写"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
denounce,"vt. 告发, 抨击, 谴责
"
devote,"vt. 投入于, 献身"
devour,"vt. 吞食, 挥霍, 吞没"
devout,"a. 虔诚的, 虔敬的, 诚恳的"
dilemma,"n. 困境, (进退两难的)窘境"
dioxide,"n. 二氧化物
"
diplomat,"n. 外交官, 有外交手腕的人
"
dilapidate,"v. (使)荒废, (使)毁坏"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
dispersal,"n. 散布, 传播, 分散"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
diverge,"vi. 分歧, 岔开
vt. 使岔开"
diversification,"n. 变化, 多样化
"
divorce,"n. 离婚
vt. 与...离婚"
dessert,n. 餐后甜点
disadvantage,"n. 缺点, 不利, 坏处"
disaster,"n. 灾祸, 不幸, 彻底失败"
disconcert,"vt. 使困惑, 使仓皇失措, 打乱(计划等)"
disinterest,"n. 无兴趣, 不关心
vt. 使不关心"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
disprove,"vt. 证明...是不对的, 提出...的反证, 反驳
"
disquiet,"vt. 打搅, 使烦恼, 使忧虑, 使不安
n. 不安, 焦虑, 不平静"
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
discourage,"vt. 使气馁, 阻碍"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
displace,"vt. 移置, 替换, 转移"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
discern,"v. 辨别, 看清楚, 了解"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
dispel,"vt. 驱散, 驱逐"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
distend,"v. (使)膨胀, (使)扩张"
distort,"vt. 扭曲, 歪曲
"
distract,"vt. 转移, 分心, 使发狂"
eliminate,"vt. 除去, 排除, 剔除, 消除"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
elicit,"vt. 引出, 推导出, 引起"
elite,"n. 精华, 精锐, 中坚分子"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
enunciate,"vt. 明确地叙述, 表明
vi. 发音"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
erupt,"vi. 爆发
vt. 喷出"
espouse,"vt. 支持, 赞成, 嫁, 娶
"
evaluate,"vt. 评估, 评价, 赋值"
