species,"n. 种, 类, 外形
"
conjurer,"n. 恳求者, 施魔术者, 变戏法的人, 魔术师, 念咒的人, 非常聪明的人"
imply,"vt. 暗示, 意味
"
occur,"vi. 发生, 被想到, 存在"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
site,"n. 位置, 场所, 地点
vt. 给...择址"
element,"n. 元件, 元素, 要素
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
community,"n. 社区, 公众, 共有, 共同体
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
organism,"n. 生物, 有机体, 社会组织
"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
predator,"n. 食肉动物, 掠夺者
"
extinction,"n. 消失, 消灭, 废止
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
technique,"n. 技巧, 技术, 方法
"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
hypothesis,"n. 假设
"
location,"n. 位置, 场所, 特定区域
"
sediment,"n. 沉淀物, 沉积
"
agriculture,"n. 农业
"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
relatively,"adv. 相对地, 比较地, 相当地, 相关地
"
environmental,"a. 周围的, 环境的
"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
variety,"n. 多样, 种类, 变种, 杂耍
"
