abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abandonment,"n. 放弃, 抛弃, 放纵
"
ability,"n. 能力, 才干
"
absent-minded,"adj. 茫然的
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
abundance,"n. 丰富, 充足, 大量
"
abundant,"a. 丰富的, 充分的, 大量的"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
accentuate,"vt. 以重音念, 强调, 重读"
acceptable,"a. 可接受的, 合意的, 可忍受的"
accelerate,"v. 加速, 促进"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accompaniment,"n. 伴随物, 附加物, 伴奏"
accomplishment,"n. 成就, 完成"
accounting,"n. 会计学, 帐单, 清帐
"
accumulate,"v. 积聚, 堆积"
accurate,"a. 正确的, 精确的
"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acquire,"vt. 获得, 学到
"
adapt,"vt. 使适应, 改编
vi. 适应"
adaptable,"a. 能适应的, 适合的, 可修改的"
adaptation,"n. 适应, 改编, 改编本
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
addictive,a. 上瘾的
additional,"a. 附加的, 另外的, 额外的
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
adequate,"a. 适当的, 足够的
"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adjustment,"n. 调整, 调节, 校正
"
administration,"n. 行政, 管理, 政府机关
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
admittance,"n. 进入, 进入权, 准许进入
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adorn,"vt. 装饰, 使生色"
adornment,"n. 装饰, 装饰品"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
advantageous,"a. 有利的, 有益的"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
adversely,"adv. 不利, 有害, 相反, 逆, 敌对, 逆向"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
advertize,"vt. 做广告, 通知
vi. 做广告"
advertisement,"n. 广告, 启事, 广告宣传
"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
aesthetic,"a. 美学的, 审美的, 有美感的"
aesthetically,adv. 美学观点上地；审美地
affair,"n. 事件, 事务, 恋爱事件"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affected,"a. 假装的, 做作的, 受影响的"
affirmative,"a. 肯定的, 赞成的, 积极的
n. 肯定语"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
afford,"vt. 买得起, 足以, 给予"
agenda,"pl. 议程, 日常工作事项
"
aggravate,"vt. 使恶化, 使更严重, 加重"
agreement,"n. 同意, 合约, 协议
"
agriculture,"n. 农业
"
air-conditioning,"用空调设备调节空气, 空调设备
"
aircraft,"n. 航空器, 飞机
"
airport,"n. 飞机场
"
aisle,"n. 走廊, 侧廊, 过道
"
alcohol,"n. 酒精, 酒
"
alcoholic,"n. 酒鬼, 酒精中毒者
a. 酒精的"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
alter,v. 改变
altitude,"n. 高度, 海拔, 高处
"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
amount,"n. 总数, 总额
vi. 总计, 等同"
ancestor,"n. 祖先, 祖宗"
analysis,"n. 分析
"
analytical,"a. 分析的, 善于分析的, 解析的
"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
announcement,"n. 公告, 发表, 告知
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
annually,"adv. 一年一次, 每年
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
antiquate,"vt. 使古旧, 废弃"
antiquated,"a. 陈旧的, 过时的, 年老的"
antiquity,"n. 古老, 古代, 古代人, 古物"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
apartment,"n. 房间, 公寓"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appealing,"a. 有感染力的, 动人的, 恳求的"
appear,"vi. 出现, 显得, 来到
"
appendix,"n. 附录, 附加物, 阑尾
"
applicant,"n. 申请者
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
appoint,"vt. 任命, 指定, 下令
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
appropriate,"a. 适当的
"
approval,"n. 赞成, 批准
"
approved,a. 被认可的；经过检验的
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
aptly,"adv. 适当地, 适宜地"
archaeologist,n. 考古学家
architecture,"n. 建筑学, 建筑式样
"
argument,"n. 争论, 论证, 论据, 自变量
"
armor,"n. 盔甲, 潜水服, 装甲
vt. 为...装甲"
army,"n. 军队, 陆军"
arranged,a. 安排的
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
arrogant,"a. 自大的, 傲慢的"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
artisan,"n. 工匠, 技工
"
arthritis,"n. 关节炎
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
artificial,"a. 人造的, 假的, 非原地产的
"
artist,"n. 艺术家, 画家"
aspect,"n. 外观, 方面, 面貌, 方向
"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assembly,"n. 与会者, 集会, 装配, 组件
"
assert,"vt. 主张, 坚称, 断言
"
assessment,"n. 评估, 估定, 评定的款额
"
asset,"n. 资产, 有益的东西"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
association,"n. 协会
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assumption,"n. 假定, 自负, 担任, 假装
"
assurance,"n. 保证, 把握, 信心, 保险
"
assured,"a. 确定的, 自信的
"
astrology,"n. 占星术, 占星学"
athlete,"n. 运动员, 运动选手
"
athletic,a. 运动的
atmosphere,"n. 大气, 空气, 气氛
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
attain,"vt. 达到, 获得
vi. 达到"
attainment,n. 达到
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
attendance,"n. 出席, 出席的人数, 照料
"
attention,"n. 注意, 注意力
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
audience,"n. 听众, 观众, 读者
"
audio,"a. 音频的, 声音的
"
auditorium,"n. 听众席, 礼堂
"
aurora,"n. 曙光, 极光, 奥罗拉(曙光女神)
"
author,"n. 作家, 作家的著作, 创始人
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
autumn,"n. 秋天, 成熟期"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
available,"a. 可利用的, 可获得的, 有效的
"
avenue,"n. 大街, 途径, 林荫路"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
avoid,"vt. 避免, 防止, 撤消
"
at intervals,"不时, 相隔一定距离"
as a rule,通常
as such,"照比, 本身"
bachelor,"n. 单身汉, 学士
"
backache,n. 背痛
background,"n. 背景, 背景资料
"
bacteria,"pl. 细菌
"
badminton,n. 羽毛球运动
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
ballot,"n. 投票, 投票用纸, 抽签
vi. 投票, 抽签
vt. 投票选出, 拉选票"
ban,"n. 禁令
vt. 禁止, 取缔"
bank,"n. 银行, 堤, 岸
"
bankruptcy,"n. 破产者
"
bar chart,
barn,"n. 谷仓
"
barren,"a. 不育的, 贫瘠的
n. 荒地"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
barrier,"n. 障碍, 栅栏
"
baseball,"n. 棒球
"
basement,"n. 地下室, 墙脚
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
basin,"n. 盆, 盆地
"
basis,"n. 基础, 主要成分
"
basketball,n. 篮球
bather,"n. 入浴者, 游泳者"
beach,n. 海滩
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
bedroom,n. 卧室
beginning,n. 开始
beneficial,"a. 有益的, 受益的
"
