what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
be,"v. 是, 表示, 在
"
am,"be的单数第一人称
"
is,"be的现在式第三人称
"
are,be的现在时复数或第二人称单数
your,"pron. 你的, 你们的"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
hi,interj. 喂
my,"pron. 我的
"
hello,"interj. 喂, 嘿"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
here,"adv. 在这里, 此时, 这里
n. 这里"
come here,v. 来这里
OK,[网络] 确定；好；击
okay,"a. 好, 可以, 行, 对, 好吗, 很好
adv. 好, 可以, 行, 对, 好吗, 很好
n. 同意, 签认, 批准, 认可
vt. 同意, 签认, 批准, 认可"
mom,n. 妈妈
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
you,"pron. 你, 你们"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
the,art. 那
morning,"n. 早晨, 早上, 初期"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
come in,"进来, 到达, 流行起来, 当选, 到手
"
ant,n. 蚂蚁
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
thanks,"n. 感谢, 谢意, 谢忱
interj. 谢谢, 谢谢你"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
friend,"n. 朋友, 支持者, 赞助者
"
too,"adv. 也, 非常, 太"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
bye,"interj. 再会, 回头见
"
good-bye,再见（歌曲名）
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
a,"第一个字母 A; 一个; 第一的
art. "
an,art. 一
day,"n. 天, 日子, 白天, 工作日
"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
elephant,n. 象
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
afternoon,"n. 午后, 下午"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
sit,"vi. 坐, 就座, 坐落
vt. 使就座, 骑
n. 坐, 衣服合身"
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
sit down,"坐下, 占据, 参加静坐罢工(或示威)"
computer,"n. 电脑, 电子计算机
"
yes,"adv. 是
n. 是, 同意
v. 同意"
it,"pron. 它
"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
not,"adv. 不, 非, 未
"
eraser,n. 擦子
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
desk,"n. 书桌, 办公桌, 工作台"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
up,"a. 向上的, 起床的, 涨的
adv. 向上, 上涨
prep. 在...上面, 向...的较高处"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
goat,"n. 山羊, 替罪羊, 色鬼"
hippo,"n. 河马
"
insect,"n. 昆虫, 卑鄙的人
"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
who,pron. 谁
she,pron. 她
dad,"n. 爸爸, 爹爹"
and,"conj. 和, 与
"
me,pron. 我
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
brother,n. 兄弟
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
pick up,"v. 拾起；探出；重新开始
"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
kangaroo,"n. 袋鼠
"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
car,"n. 汽车, 客车
"
monster,"n. 怪物, 恶人, 巨物
"
oh,interj. (表示惊讶、恐怖、赞叹)哦
ouch,"interj. 哎唷(表剧痛)
n. 扣环, 胸针, 珠宝饰物"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
look at,"看, 考虑, 着眼于"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
sorry,"a. 难过的, 悲哀的, 遗憾的"
put up,"adj. 预先商定的
"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
