would,"aux. 将, 愿意"
would like, 想要
snack bar,"快餐柜, 小吃店"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
glad,"a. 高兴的, 喜欢的, 情愿的"
How is it going?,无
Just great!,无
together,"adv. 一起, 共同, 彼此"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
French fries, 炸薯条
Coke,"n. 可口可乐, 焦炭
v. (使)成焦炭"
pie,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊
"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
or,"conj. 或, 或者
"
For here or to go?,无
enjoy,"vt. 享受, 喜欢, 欣赏
"
sleepy,"a. 困乏的, 欲睡的"
take a rest,休息一下
bored,a. 无聊的；烦人的；无趣的
noodles,"n. 面条, 挂面（noodle的复数形式）"
pizza,n. 比萨饼
lemonade,"n. 柠檬水
"
always,"adv. 总是, 始终"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
usually,"adv. 通常, 大抵"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
swimmer,n. 游泳者
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
hobby,"n. 嗜好, 癖好, 爱好"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
spaceship,n. 宇宙飞船
fantastic,"a. 奇妙的, 稀奇的, 空想的"
never,"adv. 从不, 决不, 不曾
"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
sad,"a. 忧愁的, 悲哀的"
weekend,"n. 周末, 周末休假"
hiking,n. 徒步旅行
family,"n. 家庭, 家人, 族
a. 家庭的"
artist,"n. 艺术家, 画家"
food,"n. 食物, 养料
"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
violinist,"n. 小提琴演奏者, 小提琴家"
always,"adv. 总是, 始终"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
usually,"adv. 通常, 大抵"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
swimmer,n. 游泳者
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
hobby,"n. 嗜好, 癖好, 爱好"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
spaceship,n. 宇宙飞船
fantastic,"a. 奇妙的, 稀奇的, 空想的"
never,"adv. 从不, 决不, 不曾
"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
sad,"a. 忧愁的, 悲哀的"
weekend,"n. 周末, 周末休假"
hiking,n. 徒步旅行
family,"n. 家庭, 家人, 族
a. 家庭的"
artist,"n. 艺术家, 画家"
food,"n. 食物, 养料
"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
violinist,"n. 小提琴演奏者, 小提琴家"
Ms.,"abbr. 多发性硬化
n. “M”的复数
"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
vacation,"n. 假期, 休假
"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
learn,vt. 学习；认识到；得知
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
farmer,"n. 农夫, 农场主
"
vet,"n. 兽医
vi. 当兽医
vt. 诊断, 检审"
yeah,"adv. (非正式)是, 是的"
take care of,"照顾
"
animal,"n. 动物
"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
beach,n. 海滩
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
mountain,"n. 山, 山脉, 大堆"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
explore,"v. 探险, 探测, 探究"
police station,"警察分局
"
astronaut,"n. 太空旅行者, 宇航员
"
grandparent,n. 祖父母
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
not yet," 尚未, 还没有"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
raincoat,n. 雨衣
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
forgot,forget的过去式和过去分词
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
airport,"n. 飞机场
"
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
week,"n. 星期, 周"
sir,"n. 先生, 阁下"
yours,"pron. 你的(东西), 你们的(东西)"
boarding pass,"登机卡,飞机票"
pen pal,笔友
ate,"eat的过去式
"
schoolbag,n. 书包
during,prep. 在...的时候
holiday,"n. 假日, 假期, 节日
vi. 度假"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
close to,"接近于, 靠近于"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
building,"n. 建筑物, 建筑
"
Great Wall,长城
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
Paris,"n. 巴黎
"
city,"n. 城市, 市
"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
Egypt,n. 埃及
those,pron. 那些
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
in front of,在...前面
between ... and ...,无
bank,"n. 银行, 堤, 岸
"
theater,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
zoo,n. 动物园
restroom,n. 洗手间；休息室；更衣室；厕所
restaurant,"n. 餐馆, 饭店"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
felt,"n. 毛毯, 毡
vt. 制毡, 使粘结
vi. 粘结
feel的过去式和过去分词"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
often,"adv. 时常, 常常"
best,"a. 最好的
adv. 最好地
n. 最好的人"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
It's pouring.,[网络] 外面下着倾盆大雨；下大雨；倾盆的下著
got,"get的过去式和过去分词
"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
snowman,n. 雪人
ski,"n. 滑雪橇
vi. 滑雪"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
achoo,n. 啊嚏
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
came,come的过去式
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
come back,"回来, 在记忆中重现, 复辟, 恢复, 回签"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
were,be的过去式
interesting,a. 有趣的
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
throat,"n. 咽喉, 喉咙, 嗓音
vt. 用喉音说, 开沟于"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
runny nose,流鼻水
airplane,"n. 飞机
"
because,conj. 因为
yesterday,"n. 昨天
adv. 昨天"
swam,swim的过去式
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
