breakfast,n. 早餐
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
umm, [医]Unlversal Measuring Microscope
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
salad,n. 色拉
lunch,n. 午餐
Mrs.,n. 先生
teacher,"n. 教师, 老师, 导师"
student,"n. 学生, 研究者, 学者"
Mr.,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
beside,prep. 在旁边
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
whose,pron. 谁的
know,"v. 知道, 了解, 认识, 确信"
his,"pron. 他的
"
What's wrong?,怎么了
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
her,"pron. 她的, 她"
bike,"n. 自行车, 脚踏车"
ax,"n. 斧头
vt. 用斧削或砍, 削减"
music,"n. 音乐, 乐曲"
on time,"准时
"
from now on,从现在开始
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
math,n. 数学
third,"num. 第三, 三分之一
"
why,"adv. 为什么
n. 原因, 理由"
Why not?, 何妨；何不
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
so long,再见
English,[网络] 英语
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
science,"n. 科学, 学科, 学问, 自然科学
"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
after school,放学后
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
library,"n. 图书馆, 藏书, 库
"
every,"a. 每一, 所有的"
every day, 每天; 日; 天天; 逐日
street,"n. 街道, 马路, 街区
a. 街道的"
ow,interj. 啊唷
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
again,"adv. 再一次, 又, 到原处"
piano,n. 钢琴
soccer,n. 英式足球
better,"a. 较好的
adv. 比较好"
with,"prep. 和...在一起, 以, 由于"
us,"pron. 我们
"
kick,"n. 踢, 反冲, 后座力, 凹底
vi. 踢, 反抗, 反冲
vt. 踢, 反冲"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
baseball,"n. 棒球
"
glove,"n. 手套
vt. 给...戴手套"
hit,"n. 打击, 打, 冲撞, 讽刺
vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上
vi. 打, 打中, 打击, 碰撞, 偶然碰上
"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
warm-up,"na. 加热；变暖；热中起来；【运】作准备动作
"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
toe,"n. 足趾, 趾部, 脚趾
vt. 以趾踏触, 用脚尖走
vi. 动脚尖"
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
pancake,"n. 薄烤饼, 薄煎饼, 烙饼"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
flour,"n. 面粉, 粉沫, 碎粉
"
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
any,"a. 任何的
pron. 任何"
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
careful,"a. 小心的, 谨慎的"
be careful,[网络] 小心；当心；注意
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
triangle,"n. 三角形, 三个一组, 三角关系
"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
That's it.,[网络] 就这样；就是；就是这样
eat,"v. 吃, 腐蚀"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
