spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
Spring Festival,n. 春节（中国农历正月初一）
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
year,"n. 年, 年度, 年龄
"
New Year's Day,元旦
I see.,"我明白,我理解,我知道"
beautiful,a. 美丽的
dumpling,"n. 面团布丁, 团子"
yourself,pron. 你自己
Help yourself.,请自己动手用餐吧
delicious,a. 美味的
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
Dragon Boat Festival,[网络] 端午节；龙舟节；端午节英语作文
Mid-Autumn Festival,中秋节
mooncake,n. 月饼
Christmas,[网络] 圣诞；基督的弥撒
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
rice dumpling, 粽子
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
which,"pron. 哪一个, 那一个"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
too,"adv. 也, 非常, 太"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
fever,"n. 发烧, 发热, 热病
"
gee,"n. 马, 家伙
interj. 向右, 前进, 哎呀(惊讶时所发声音)
v. (使)向右转"
bad,"a. 坏的
n. 坏
adv. 坏地"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
take care," 当心, 小心; 坚持到底"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
headache,"n. 头痛, 令人头痛之事
"
stomachache,"n. 胃痛, 肚子痛"
toothache,"n. 牙痛
"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
roller coaster, 过山车
exciting,"a. 令人兴奋的, 刺激的
"
ooh,int. （表示惊异、热心、高兴或不悦的叫声）哦！
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
bumper car,n. 碰撞用汽车
really,"adv. 实际上, 真实地, 实在"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
tired,"a. 疲累的, 疲乏的, 厌倦的"
phew,"interj. 咳, 哦, 唷"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
him,pron. 他
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
too much,"太多, 太高"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
look for,"寻找, 期待"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
grandma,"n. 奶奶, 外婆"
her,"pron. 她的, 她"
happen,"vi. 发生, 发生, 恰巧"
What's happening?,[网络] 在忙什么；正在发生什么；发生了什么事
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
blow out,"na. 取消；停止鼓风；(吹)胀；吹破
"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
from,"prep. 从, 来自, 根据"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
grandpa,"爷爷, 老太爷, 外公"
uncle,"n. 叔父, 伯父, 姨丈"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
post office,"邮局
"
policeman,"n. 警察
"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
excuse me,对不起
over there,在那边
ah,"interj. 啊, 哈"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
may,"n. 五月
aux. 愿能, 可以, 愿意"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
How long ...?, 多久; 多长
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
bookstore,n. 书店
restaurant,"n. 餐馆, 饭店"
hospital,"n. 医院
"
supermarket,"n. 超级市场
"
bathroom,"n. 浴室, 厕所"
living room,"客厅, 起居室"
TV,"n. 电视；电视机
abbr. (=television)
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
spider,"n. 蜘蛛, 设圈套者
"
take ... away,"adj. 买回去的
"
ugh,"interj. 咄!, 啊!, 呸!"
bedroom,n. 卧室
kitchen,"n. 厨房, 全套炊具
"
dining room,饭厅
photo,"n. 相片, 照片, 逼真的描绘
v. 照相
a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
quickly,adv. 很快地
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
oops,interj. (表示惊讶、沮丧、谢罪等)哎哟
sixty,"num. 六十, 六十个"
seventy,"num. 七十, 七十个"
eighty,"num. 八十, 八十个"
ninety,"num. 九十, 九十个"
