biased,"a. 有偏见的
"
placement,"n. 放置, 布置, 工作安排, 编班, 定位球
"
counselor,"n. 顾问, 参事, 法律顾问"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
reliable,"a. 可靠的, 可信赖的
"
busboy,n. 餐馆里的服务员助手
dumpy,"a. 矮胖的, 粗短的"
thick-tongued,无
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
Down's syndrome,唐氏综合征；伸舌样白痴
bus,"n. 公共汽车
"
mouthy,"a. 说大话的, 大声叫嚣的, 多嘴的"
yuppie,n. （美）雅皮士（属于中上阶层的年轻专业人士）
snob,"n. 势利的人, 假内行"
silverware,n. 银器
napkin,"n. 餐巾, 餐巾纸, 尿布"
for fear of,"害怕,恐怕,生怕,唯恐,以防"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
truckstop,"n. 长途卡车服务站；公路小餐馆
"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
expense account,[经] 费用帐户
flirt,"n. 卖弄风骚的人, 急动, 急扔
vt. 忽然弹出, 轻快摆动, 挥动
vi. 调情, 玩弄, 摆动, 轻率地对待"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
wrap sb. around one's little finger,无
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
mascot,"n. 福神, 吉祥的东西"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
pepper shaker,胡椒瓶
in place,"na. 得其所；适当的
"
crumb,"n. 碎屑, 面包屑, 少许
vt. 捏碎, 弄碎"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
get done with,抓紧完成
be done with,[口语]；做完，结束；(使用)完毕的；了结的；与…了结关系，不再同…打交道
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
in the background,在幕后;隐蔽地
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
meticulously,"adv. 过细地, 细致地"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
rag,"n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服
vt. 责骂, 揶揄, 戏弄
vi. 喧闹"
pucker,"vt. 使起皱
vi. 折成褶
n. 皱纹"
take pride in,以...为傲
each and every,每个
over time,[计] 超时
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
Social Security,"n. 社会保障, 社会保险; <美>政府的公共福利计划"
social worker,n. 社会工作者
check on,"检查,核对"
every so often,"时常, 常常, 不时"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
fall between the cracks,[网络] 被忽略
valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
come through,"经历...仍活着, 安然度过, 胜利, 表现"
ripple,"n. 涟波, 涟漪, 波纹, 粗钢梳
vt. 使起涟漪
vi. 起微波, 起潺潺声"
let out,[网络] 阿尔都塞思想的全部整体
whoop,"n. 大叫, 呐喊, 一点点
vi. 叫喊, 鸣叫
vt. 高声说, 唤起"
war whoop, 北美印第安人战斗时的呐喊声
shimmy,"n. (非正式)女式衬衣, (美)不正常振动
vi. (美)摇晃, 振动, 颤动"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
shoot sb. a look,无
shoot a look at sb.,无
grin,"n. 露齿笑
v. 露齿而笑"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
booth,"n. 亭, 摊棚
"
get by,"通过, 混过"
as it is,"事实上, 实际上, 既然如此"
wait on,"服侍, 招待, 拜访, 焦急地等待"
bold,"a. 大胆的
n. 粗体
"
scrawl,"vt. 潦草地写
vi. 乱写
n. 潦草的笔迹"
Thanksgiving,n. 感谢
count the days,[网络] 渴望；迫不及待；迫切的盼望某时刻的到来
jeopardy,"n. 危难, 危险
"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
procession,"n. 队伍, 连续, 列队行进, 涌出"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
saucer,"n. 茶碟, 茶托
"
crooked,"a. 弯曲的, 歪的, 邪恶的"
dozens of,"几十个,数十个;许多…"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
peek,"vi. 偷看, 窥视
n. 偷看, 看一眼"
tableware,n. 餐具
hold on,"继续, 不挂断, 停止"
gnawing,"n. 咬, 不断的苦痛
a. 咬的, 令人苦恼的"
pang,"n. 剧痛, 悲痛, 苦闷
vt. 使剧痛, 折磨"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
overwhelming,"a. 压倒性的, 无法抵抗的"
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
moustache,"n. 髭, 小胡子, 触须"
puppy,"n. 小狗, 小动物, 自负的年轻人"
puppy love,早年初恋
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
gender,"n. 性
vt. 产生"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
unhesitant,[网络] 毫不留情
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
exhilarated,"v. 使高兴, 使兴奋( exhilarate的过去式和过去分词 )"
settled,"a. 固定的, 决定的, 持续的, 难以消除的
"
give and take,"平等交换, 互让, 交换意见"
build ... on, 在原有的建筑物上增建; 以…为基础; 依赖; 一心指望
build ... upon,"堆积于......
建立在......"
foundation,"n. 基础, 根据, 建立
"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
a meeting of minds,[网络] 意见一致；兰交；臭味相投
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
short-lived,短暂的
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
lavishly,"adv. 浪费地, 丰富地"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
era,"n. 时代, 纪元, 时期"
constraint,"n. 强制, 约束
"
restraint,"n. 抑制, 克制, 束缚
"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
unpretentious,"a. 不铺张的, 不炫耀的, 不装模作样的, 不招摇的, 谦逊的, 质朴的"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
remindful,"a. 提醒的, 记得的"
bygone,"n. 过去的事, 往事
a. 过去的"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
holiness,"n. 神圣；圣座（大写, 对教宗等的尊称）"
proximity,"n. 接近, 亲近"
jump on the bandwagon,"赶潮流,赶浪头"
climb on the bandwagon,"支持有获胜把握的竞选人;参加有成功希望的事业;倒向胜利者一边,趋炎附势"
bandwagon,"n. 乐队彩车, 流行"
haste,"n. 匆忙, 急忙"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
compatibility,"n. 兼容性
"
via,"prep. 经由, 经过, 通过
"
sensibility,"n. 感性, 感觉, 情感
"
brag,"n. 吹牛
v. 吹牛"
horrify,"vt. 使恐惧, 使震惊"
hook up having a romantic or sexual relationship with sb.,无
baggage,"n. 行李
"
purely,"adv. 纯粹地, 清白地, 贞洁地"
state of affairs,"事态, 情势
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
mindset,n. 心态；倾向；习惯；精神状态
distort,"vt. 扭曲, 歪曲
"
lust,"n. 贪欲, 欲望, 色欲
vi. 贪求, 渴望, 动淫念"
acquire,"vt. 获得, 学到
"
opportunism,n. 机会主义
selflessness,n. 忘我；无私
in short,"简而言之
"
sincerity,"n. 诚实, 真实, 诚心诚意"
self-sufficient,"adj. 自给自足的；过于自信的；傲慢的
"
let sb. loose,"na. 释放；放任；放走
"
let sb. loose on sth.,无
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
frivolous,"a. 轻佻的, 妄动的, 琐碎的
"
criterion,"n. 标准, 准则, 规范
"
describe ... as,描述为
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
classical,"a. 古典的, 正统派的, 经典的
"
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
distinguish between,v. 区别
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
impermanent,"a. 暂时的, 非永久的"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
take pleasure in sth.,乐于
take pleasure in doing sth.,无
in so far as,"至于, 就..."
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
incidental,"a. 附带的, 偶然的, 容易发生的
n. 附带事件"
saying,"n. 叙述, 话, 说, 言论"
as the saying goes,"俗话说,常言道"
tribulation,"n. 苦难, 困苦, 苦难的缘由"
trials and tribulations,[网络] 风浪考验；艰难困苦；痛苦与磨难
statesman,n. 政治家
orator,"n. 演说者, 演讲者, 雄辩家, 原告, 请愿人
"
ethic,"n. 道德规范, 伦理"
influential,"a. 有影响的, 有势力的"
as to,"根据,按照,依照;关于,至于,就…而言"
purity,"n. 纯净, 纯正, 纯粹
"
equity,"n. 公平, 公正
"
liberality,"n. 慷慨, 宽宏大量, 心胸宽大, 胸怀广阔, 公正, 丰富, 宽阔, 丰满"
greed,"n. 贪欲, 贪婪"
have the courage of one's convictions,有勇气去做自己认为正确的事; 敢于提出自己的主张
have the courage of one's own convictions,无
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
superiority,"n. 优越, 高傲
"
surpass,"vt. 超越, 凌驾, 胜过"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
virtuous,"a. 品德高尚的, 公正的, 贞洁的, 有效力的"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
altruistic,"a. 利他的, 无私心的"
childishly,"adv. 天真地, 幼小地; 幼稚地"
master race,n. 优等民族
nationalistic,a. 国家主义的
all-time, [体]全部时间的
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
have one's eye on sth.,[网络] 注视；看上；留心着
running broad jump,[美国英语] =(running)long jump
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
kind of," <口>稍微, 有点儿, 有几分"
win hands down,毫不费劲地跑赢(赛马)
win sb. hands down,毫不费劲地跑赢(赛马)
win sth. hands down,毫不费劲地跑赢(赛马)
be in for,"必定遭到, 参加"
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
under wraps," 受限制, 受约束, 被拘禁"
Nazi,"n. 纳粹党人；纳粹主义信徒
adj. 纳粹党的；纳粹主义的
n. (Nazi)人名；(布基)纳齐；(俄)娜济"
Aryan,"n. 印欧语系的人, 雅利安人
a. 雅利安人的, 印欧语系语言的"
Negro,"n. 黑人
a. 黑人的"
hot under the collar,"发怒的, 气得要争吵的"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
take-off,"v. (飞机)起飞；出去；拿掉；移送
"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
make a fool of oneself,"出洋相,出丑,做傻事,犯傻"
disgustedly,adv. 厌烦地
handshake,n. 握手
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
eat,"v. 吃, 腐蚀"
slang,"n. 俚语
v. 辱骂, 用俚语说"
supremacy,"n. 至高无上, 霸权地位, 优势, 至上
"
look the part,看起来适合这角色
muscular,"a. 强壮的, 肌肉发达的, 有力的
"
blond,"a. 金发的
n. 白肤碧眼金发的人"
strikingly,"adv. 显著地, 惊人地, 引人注目地"
chiseled,"a. 凿刻的, 轮廓分明的
v. 凿, 雕, 镌( chisel的过去式 )"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
quarters,"n. 寓所, 营房, 住处"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
congratulate,"vt. 祝贺, 庆贺"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
