brigade,"n. 旅, 队
"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
crunchy,a. 发嘎吱嘎吱声的
discreetly,"adv. 谨慎地, 小心地"
flail,"n. 连枷
v. 用连枷打, 打"
goody,"n. 身分低微之老妇, 糖果, 姥姥
a. 感伤的, 伪善的
interj. 太好了"
junk food,"n. 垃圾食品, 无营养食品"
ketchup,n. 蕃茄酱
malicious,"a. 怀恶意的, 恶毒的"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
puddle,"n. 小池, 水坑, 胶土
vt. 搅浊, 搅炼
vi. 在泥污中打滚, (把黏土等)捣制成胶土"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
sandal,"n. 凉鞋, 拖鞋, 檀香木
vt. 穿以便鞋"
shackle,"n. 桎梏, 束缚物
vt. 加枷锁, 束缚"
slink,"vi. 鬼鬼祟祟地走, (动物)早产
vt. 早产
n. 鬼鬼祟祟的人, 早产的动物
a. 早产的"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
spaghetti,n. 意大利面条
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
whereabouts,"n. 下落, 所在之处
adv. 在何处"
tip off,"na. 向…透露消息，泄密；暗中通知某人；(把水等从器皿中)倒干净；使…掉下来；〈俚语〉杀死
"
go out to sb.,对…充满同情；(心)向往
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
conceivably,"adv. 想得到地, 想象上, 以为"
coronary thrombosis,[医] 冠状动脉血栓形成
deceased,"a. 已故的
n. 死者"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
lineup,"n. 阵容, 阵形, 布阵, 一组人"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
workaholic,"n. 工作迷, 醉心于工作的人
"
anew,"adv. 重新, 再"
calorie,n. 卡路里（热量单位）
cappuccino,n. 热牛奶咖啡
contortion,"n. 扭弯, 扭歪, 曲解
"
coo,"vi. 咕咕地叫
vi.vt. 谈情话, 轻轻地说, 温柔可爱地说, 温柔爱恋地说
n. 鸽子的叫声, 鸽子叫似的轻声"
debonair,"a. 温文有礼的, 高兴的"
dodge,"v. 避开, 躲避
n. 诡计, 躲藏"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
esthetically,adv. esthetical的变形
exasperating,"a. 使人恼怒的, 激怒人的"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
geranium,"n. 老鹳草属植物, 天竺葵
"
habituate,"vt. 使习惯于, 使熟习于"
ludicrous,"a. 可笑的, 滑稽的, 荒唐的"
motel,n. 汽车旅馆
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
sedate,"a. 沉着的, 镇静的, 安静的
vt. 给...服镇静剂"
squash,"n. 挤压, 压碎的东西, 南瓜属植物, 拥挤的人群
vt. 压扁, 镇压, 压制
vi. 被压扁, 发溅泼声, 挤入"
treadmill,"n. 踏车, 令人厌倦的工作
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
unfurl,"vt. 展开, 展示, 公开, 使临风招展
vi. 打开, 展开, 显露"
venerable,"a. 庄严的, 值得尊敬的"
pull up,"v. 拔起；使…停下
"
