preceding,"a. 在前的, 前面的
"
semester,n. 学期
impromptu,"n. 即席演出, 即兴曲
a. 即席的
adv. 即席"
boating,n. 划船
attendance,"n. 出席, 出席的人数, 照料
"
steeply,adv. 险峻地
humiliation,"n. 耻辱, 丢脸, 谦卑"
diligence,n. 勤奋
flyer,"n. 飞鸟, 飞行物, 飞行员, 快车, 传单, 飞跳
"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
provisional,"a. 暂时的, 暂定的, 临时的
"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
activist,n. 激进主义分子
congress,"n. 国会, 会议, 讨论会
"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
promotion,"n. 晋级, 创建, 增进
"
inevitably,adv. 不可避免地
criticize,"v. 批评, 吹毛求疵, 非难"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
moor,"n.荒野；旷野
Moor: 摩尔人.
v.系住；停泊"
estuary,"n. 河口, 港湾"
coastline,n. 海岸线
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
coastal,"a. 海岸的, 沿海的, 沿岸的
"
rusty,"a. 生锈的, 腐蚀的, 生疏的, 顽固的, 腐烂的
"
mesh,"n. 网孔, 网丝, 网眼, 网状物, 圈套, 陷阱, 啮合
vt. 以网捕捉, 啮合, 使缠住
vi. 落网, 相啮合"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
deck,"n. 甲板, (汽车后部的)行李仓
vt. 装饰, 打扮, 装甲板
"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
clamp,"n. 夹钳
vt. 夹紧, 强加"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
productive,"a. 能生产的, 有生产价值的, 多产的
"
at the back of one's mind,在记忆的深处，模模糊糊地，下意识地[见 mind]
in the back of one's mind,无
map out,"na. 规划
"
end up,"竖着, 结束, 死"
be looking to do sth.,无
settle down,"使舒服地坐下, 定居, 平静下来, 专心于"
haul up,"na. 船迎风行驶；拖上来；停止
"
figure out,"合计为, 计算出, 明白"
bearer,"n. 带信人, 票据持有人, 搬运者
"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
substantiate,"vt. 使实体化, 证实
"
coffin,"n. 棺材, 灵柩
vt. 把...装进棺材"
dweller,n. 居民
trample,"n. 践踏(声), 蹂躏
v. 践踏, 无视"
cemetery,"n. 墓地, 公墓
"
hooded,"a. 有罩盖的, 戴头巾的"
hood,"n. 头巾, 兜帽, 覆盖, 强盗
vt. 罩上, 覆盖"
scythe,"n. 长柄大镰刀, 大钐镰
vt. 用大镰刀割"
sideline,"n. 副业, 旁线, 界线, 兼职, 旁观者看法
vt. 使退出比赛场地"
uncertainty,"n. 不确定, 不可靠, 不确定的事物
"
frailty,"n. 弱点, 脆弱, 意志薄弱
"
untimely,"a. 不到时候的, 不合时令的, 不适时的"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
budding,"a. 萌芽的, 发育期的, 初露头角的
n. 发芽"
crypt,"n. 土窖, 地穴, 地下室
"
kicker,"n. 踢者, 善踢的人, 爱踢的马
"
prologue,"n. 开场白, 序言, 序幕
vt. 为...作序, 加上...前言"
epilogue,"n. 结语, 尾声, 收场白
"
burner,"n. 火炉, 烧火的人
"
back-burner,保留之物;在制作中
pronto,"adv. 很快地, 马上"
canyon,"n. 峡谷, 海底悬崖"
promissory note,"本票, 期票
"
chronologically,adv. 按时间的前后顺序排列地
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
wisely,"adv. 聪明地, 精明地"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
rear-view mirror,"un. 后视镜
"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
cram,"vt. 塞满, 填满, 猛吃
vi. 贪吃
n. 极度拥挤, 死记硬背"
ingeniously,"adv. 有才能地, 贤明地"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
cucumber,"n. 黄瓜
"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
forklift truck,"un. 叉车；叉式万能装卸机；叉式起重车；叉式装卸机
"
knackered,a. 筋疲力尽的
tobogganist,n. 平底雪橇 (toboggan的变形)
patently,"adv. 明显地, 公然地"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
molecular,"a. 分子的, 由分子组成的
"
molecule,"n. 分子, 些微
"
allot,"vt. 分配, 分摊指定
"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
permanently,"adv. 永久, 不变, 持久
"
spanner,"n. 扳手
"
inevitable,"a. 不可避免的, 必然的
"
providence,"n. 深谋远虑, 天意, 天命"
halfway,"a. 中途的, 不彻底的, 部分的
adv. 半路地, 在中途, 在半途"
reaper,"n. 收割者, 收割机"
the Reaper,死亡之神
the Grim Reaper,"n. 狰狞的收割者（指骷髅状死神，身披斗篷，手持长柄大镰刀）
"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
sepia,"n. 乌贼, 乌贼墨颜料, 深褐色, 乌贼汁
a. 乌贼墨色的, 使用乌贼墨颜料的"
biography,n. 传记
omelette,"n. 煎蛋卷, 炒蛋"
epitaph,"n. 墓志铭, 碑文"
check sth. out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
type in,"un. 打字输入；打入
"
be down to sb.,只剩下(少许钱财、货物等)
the meat of,[网络] 主要部分
on the back burner,停止; 拖延
be in a position to do,[网络] 有条件去做；能够；能够做某事
be in no position to do,不可做
have a shot at sth.,试着去做
have a shot at doing sth.,无
get a shot at sth.,无
get a shot at doing sth.,无
make the best of sth.,充分利用
stand sb. up,"na. 站起来；持久；露头角；〔美俚〕背约
"
meet sb. halfway,"na. 和人妥协；迁就某人
"
rite,"n. 仪式, 典礼, 惯例, 礼拜式"
rite of passage,n. 通过仪式
fatalistic,a. 宿命论的
obstacle,"n. 障碍, 妨害物, 阻碍"
obstacle race,障碍赛跑
contestant,"n. 竞争者
"
crucial,"a. 决定性的, 重要的, 严厉的
"
clown,"n. 小丑, 乡下人"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
universally,"adv. 宇宙, 全世界, 普遍, 一般, 普通, 全体, 一致, 通用, 万能, 广用, 广泛"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
adulthood,"n. 成年
"
