excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
me,pron. 我
yes,"adv. 是
n. 是, 同意
v. 同意"
is,"be的现在式第三人称
"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
your,"pron. 你的, 你们的"
handbag,n. 手提包
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
it,"pron. 它
"
thank you, 谢谢你
very much, 非常; 良; 无可不可
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
shirt,"n. 衬衫, 内衣, 汗衫"
car,"n. 汽车, 客车
"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
here,"adv. 在这里, 此时, 这里
n. 这里"
my,"pron. 我的
"
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
five,"num. 五, 五个"
sorry,"a. 难过的, 悲哀的, 遗憾的"
sir,"n. 先生, 阁下"
cloakroom,n. 寄物间
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
teacher,"n. 教师, 老师, 导师"
son,"n. 儿子, 女婿, 子孙
"
daughter,"n. 女儿
a. 女儿的"
Mr.,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
morning,"n. 早晨, 早上, 初期"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
student,"n. 学生, 研究者, 学者"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
German,"n. 德国人, 德语
a. 德国的, 德国人的, 德国语的, 同父母的"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
Korean,"n. 朝鲜人, 朝鲜语
a. 朝鲜人的, 朝鲜语的"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
too,"adv. 也, 非常, 太"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
Swedish,"n. 瑞典人, 瑞典语
a. 瑞典的, 瑞典人的, 瑞典语的"
English,[网络] 英语
American,"n. 美国人
a. 美国的, 美洲的"
Italian,"n. 意大利人, 意大利语
a. 意大利的, 意大利语的"
Volvo,"n. 沃尔沃（汽车品牌, 总部设在瑞典）"
Peugeot,n. 法国标致（法国汽车公司）
Mercedes,n. 梅塞德斯（人名）；梅赛德斯（公司名）
Toyota,n. 日本丰田汽车（公司名）
Daewoo,n. 大宇（韩国产轿车品牌名）
Mini,"n. 同类中的极小者, 微型汽车, 超短裙
a. 微型的"
Ford,[网络] 福特
Fiat,"n. 命令, 严命, 许可
"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
am,"be的单数第一人称
"
are,be的现在时复数或第二人称单数
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
nationality,"n. 国籍, 国家, 民族性
"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
keyboard,"n. 键盘
"
operator,"n. 操作员, 行家, 经纪人, 算子, 运算符
"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
policeman,"n. 警察
"
policewoman,"n. 女警察
"
taxi driver,出租车司机；的士司机
air hostess,空中小姐
postman,"n. 邮递员
"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
mechanic,"n. 机械工, 技工
a. 手工的"
hairdresser,"n. 美发师, 理发师"
housewife,"n. 主妇, 家庭妇女"
milkman,"n. 牛奶商, 送奶工, 挤奶的男人"
hello,"interj. 喂, 嘿"
hi,interj. 喂
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
thanks,"n. 感谢, 谢意, 谢忱
interj. 谢谢, 谢谢你"
goodbye,interj. 再见
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
woman,"n. 女人, 妇女, 女仆
a. 女用的, 女性的, 妇女的
vt. 贬称...为女人, 使成女人腔"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
whose,pron. 谁的
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
perhaps,"adv. 也许, 大概"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
blouse,n. 宽松的上衣
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
brother,n. 兄弟
his,"pron. 他的
"
her,"pron. 她的, 她"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
