puma,"n. 美洲狮, 美洲狮毛皮"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
evidence,"n. 根据, 证据, 迹象
"
accumulate,"v. 积聚, 堆积"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
blackberry,"n. 刺, 黑莓
"
human being,"人类
"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
convince,"vt. 说服, 使相信
"
somehow,adv. 不知何故
disturb,"vt. 扰乱, 妨碍, 使不安
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
vicar,"n. 教区牧师, 教堂主持, 代理人
"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
torchlight,n. 火炬之光
goddess,"n. 女神, 美女, 受崇拜的女性"
archaeologist,n. 考古学家
Aegean,"a. 爱琴海的
n. 爱琴海"
explore,"v. 探险, 探测, 探究"
promontory,"n. 岬, 海角
"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
civilization,"n. 文明, 教化
"
storey,"n. 楼, 楼层, 层楼"
drainage,"n. 排水
"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
fragment,"n. 碎片, 破片, 片段
"
remains,"n. 剩余物, 废墟, 残余
"
classical,"a. 古典的, 正统派的, 经典的
"
reconstruct,"vt. 重建, 改造
"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
full-length,[机] 全长
graceful,a. 优美的
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
dustman,"n. 清洁工人, 睡神"
corporation,"n. 公司, 合作, 法人团体
"
overalls,"n. 工装裤
"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
status,"n. 状态, 情形, 地位, 要人身份
"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
statistics,"n. 统计学, 统计资料
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
palace,"n. 宫, 宫殿, 华丽大厦"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
fax,"n. 传真
vt. 发传真
"
impatient,"a. 不耐烦的, 着急的, 急切的"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
smash-and-grab,"adj. 砸橱窗抢劫的
n. 砸橱窗抢劫"
arcade,"n. 拱廊, 拱形建筑物, 有拱廊的街道
"
Piccadilly,n. 伦敦繁华的大街之一
jewellery,"n. 宝石, 贵重饰物, 珠宝, 宝石饰物, 受珍视的人/物, 宝贝, 有价值的人/物"
necklace,n. 项链
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
background,"n. 背景, 背景资料
"
velvet,"n. 天鹅绒
a. 天鹅绒的"
headlight,"n. 前灯, 桅灯
"
blare,"n. 巨响, 吼叫声, 光泽
vi. 高声鸣叫, 大叫
vt. 大声喊出"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
ashtray,n. 烟灰缸
mutilate,"vt. 切断, 使残废, 使不完整
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
fiancé,无
microwave,"n. 微波
"
