meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
the,art. 那
family,"n. 家庭, 家人, 族
a. 家庭的"
Hello!,"int. 喂；哈罗
n. 表示问候， 惊奇或唤起注意时的用语
n. (Hello)人名；(法)埃洛"
my,"pron. 我的
"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
is,"be的现在式第三人称
"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
wife,"n. 妻子, 太太, 夫人
"
How do you do?,你好
daughter,"n. 女儿
a. 女儿的"
son,"n. 儿子, 女婿, 子孙
"
Hi!,[网络] 可移动磁盘
and,"conj. 和, 与
"
nephew,"n. 侄子, 外甥"
Nice to meet you.,[网络] 很高兴见到你；很高兴认识你；见到你很高兴
friend,"n. 朋友, 支持者, 赞助者
"
teacher,"n. 教师, 老师, 导师"
Mrs.,n. 先生
your,"pron. 你的, 你们的"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
Yes,"int. 答话时表示正确或真实；表示同意所说的话；反驳否定的话
adv. (回答问话、招呼等)是；(怀疑或促人往下讲)真的吗
n. 表示同意的答复；表示同意的人
"
it,"pron. 它
"
No,"adv. 没有；无；并不；禁止
int. 没有；不是；不要；（用于否定的回答或陈述）不
adj. 禁止；(一个也)没有；一点儿也没有；什么也"
not,"adv. 不, 非, 未
"
Whose?,pron. 谁的
it's,"pron. 其
short. it is；it has
adv. （指事物、动物或婴儿）它的
"
isn't,(=is not)不是
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
hat,"n. 帽子
vt. 给...戴帽子"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
What?,"pron. 什么；多么；真；…的事物
adj. 什么；多少；关系形容词
adv. 多少
conj. 同“as much as. He helps me what he can”
"
Hey!,interj. 嗨
