next to,几乎
Arrivals,"n. 进站, 进港；到达（arrival的复数形式）"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
wait for,"na. 等；等待
"
Baggage Hall,[网络] 行李大厅；行李领取厅；行李处理大堂
suitcase,n. 手提箱
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
sit,"vi. 坐, 就座, 坐落
vt. 使就座, 骑
n. 坐, 衣服合身"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
armchair,n. 扶手椅
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
TV,"n. 电视；电视机
abbr. (=television)
"
listen to,听
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
reporter,"n. 记者, 报告者
"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
trade fair,"[经] 商业展览会, 贸易展销会"
noisy,"a. 嘈杂的, 喧闹的
"
hundreds of,"几百..., 许许多多..."
exhibitor,"n. (展览会的)参加者, 电影院经理, 电影院老板, 电影放映者, 展出者
"
thousands of,"成千上万,数千,许许多多"
visitor,"n. 参观者, 游客, 访客
"
village,"n. 村庄
a. 乡村的, 村庄的"
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
competitor,"n. 竞争者
"
listener,"n. 收听者, 听众"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
say,"vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权"
town,"n. 城镇, 市, 镇
"
city,"n. 城市, 市
"
radio,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台
v. 用无线电发送"
learn,vt. 学习；认识到；得知
news,"n. 新闻, 消息, 报导
"
come home,回家
television,"n. 电视
"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
yours,"pron. 你的(东西), 你们的(东西)"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
belong to,属于
handwriting,n. 笔迹
his,"pron. 他的
"
'to-do' list,[网络] 待办事项；待办清单；待办事项清单
airport,"n. 飞机场
"
pick up,"v. 拾起；探出；重新开始
"
training run,无
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
Why on earth ...?,[网络] 干吗；究竟是为什么
hers,pron. 她的
ours,pron. 我们的
theirs,pron. 他们的
top three percent,无
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
Congratulations!,n. 祝贺；恭喜；贺词（congratulation的复数形式）
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
Well done!, 做得不错
foil jacket,无
put on,"na. 假话
"
