middle name,"n. 中名, 名和姓之间的名字, 突出的个性"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
all the time,始终
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
unlock,"vt. 开...的锁, 开启, 表露, 放出
vi. 被开启, 揭开, 解放
"
discuss,"vt. 讨论, 论述
"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
everywhere,"adv. 各处, 到处"
key-ring,钥匙圈
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
silliness,"n. 愚蠢, 糊涂"
for example,例如
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
at lunchtime,无
at teatime,无
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
boyfriend,n. 男朋友
cuckoo,"n. 杜鹃鸟, 布谷鸟"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
birdwatcher,n. （在大自然中）观察、研究野鸟的人
appear,"vi. 出现, 显得, 来到
"
install,"vt. 安装, 安置, 使就职
"
webcam,n. 网络摄像头
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
log on,"[计] 注册, 登录, 登录入网"
enthusiastically,"adv. 热心地, 狂热地"
patiently,adv. 耐心地；有毅力地
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
suddenly,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
dart,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
excitedly,adv. 兴奋地
easily,"adv. 容易地, 轻易地, 流利地"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
out of,"在...外, 离开..., 从...里面, 出于, 由于, 因为, 缺乏, 没有, 放弃, 丧失"
enormous,"a. 巨大的, 庞大的"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
in a moment,立刻
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
be over,"完了, 结束"
robber,"n. 强盗, 盗贼"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
quickly,adv. 很快地
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
politely,"adv. 有礼貌地, 文雅地, 客气地"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
carefully,"adv. 小心地, 谨慎地"
quietly,"adv. 安静地, 沉着地, 秘密地"
badly,"adv. 严重地, 恶劣地, 极度地"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
knock,"n. 敲, 敲打, 敲门
v. 敲击, 互撞, 攻击"
loudly,"adv. 高声地, 大声地, 吵闹地"
piano,n. 钢琴
the whole, 凡百；佥
between,prep. 在...之间
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
lunchbox,n. 饭盒；便当
anyway,"adv. 无论如何, 至少"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
at the same time,"同时, 但是"
Yuk!,n. 引起大笑的趣事；[俚]（因有趣而发出的）咯咯大笑
honestly,"adv. 真诚地, 公正地"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
chemistry,"n. 化学, 化学过程
"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
library,"n. 图书馆, 藏书, 库
"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
bird feeder, 野鸟喂食器
because of,因为
squirrel-proof,无
nut,"n. 坚果, 核心, 螺帽
"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
break into,"破门而入, 侵占
"
tummy,"n. 胃, 肚子"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
go to bed,"上床, 睡觉"
early,"a. 早的, 早熟的
adv. 很早, 初"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
exam,"n. 考试, 测验"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
a lot,"大量, 很, 非常"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
fashion shoot,无
successful,"a. 成功的, 一帆风顺的, 顺利的
"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
unsuccessful,a. 不成功的
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
pay for,付...款
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
apartment,"n. 房间, 公寓"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
announcer,"n. 节目报告员, 宣告者"
go over to,过河(或街)到…；经过一段路程到…；改为，改变(信仰、宗教)转到；退出(政党)转向；改变选择；转换
forecaster,n. 预报员
the next few,无
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
south west,"n. 西南；西南方；西南地区
"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
gradually,adv. 逐渐地
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
degrees Celsius,[网络] 摄氏度；摄氏温标；摄氏三十度
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
outlook,"n. 观点, 景色, 前途, 了望
"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
yet,"adv. 还, 尚, 仍然, 已经, 然而
conj. 然而"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
behave yourself, 行为规矩些
behave myself,无
outsider,"n. 外人, 局外人, 非会员, 外行, 门外汉, 比赛中获胜可能性不大的选手
"
