action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
alcohol,"n. 酒精, 酒
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
including,"prep. 包含, 包括
"
injure,"vt. 伤害, 损害, 使受冤屈
"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
misunderstand,"vt. 误解, 误会"
obviously,"adv. 显而易见地, 明显地"
occasional,"a. 偶然的, 临时的
"
orphan,"n. 孤儿
a. 无双亲的, 孤儿的
vt. 使成孤儿
"
orphanage,"n. 孤儿院, 孤儿身份
"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
plasma,"n. 血浆, 淋巴液, 原生质, 等离子体
"
questioningly,"adv. 质问地, 疑惑地"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
uninjured,"a. 未受损害的, 未受伤害的
"
wide-eyed,"adj. 睁大眼睛的
"
a couple of,"一对..., 三两个..."
be in the balance,悬而未决，不能肯定
hang in the balance,安危未定
be supposed to,"应该, 被期望"
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
"
lay down,"v. 躺下；不反抗；屈服；顺从
"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
boundary,"n. 边界, 分界线
"
community,"n. 社区, 公众, 共有, 共同体
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
define,"vt. 定义, 规定, 使明确
"
exist,"vi. 存在, 生存, 发生"
garbage,"n. 垃圾, 废物
"
longing,"n. 渴望, 热望, 憧憬
a. 渴望的, 热望的"
mystery,"n. 秘密, 神秘, 奥秘"
neighborhood,"n. 附近, 邻近"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
relationship,"n. 关系, 关联
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
teaching,"n. 教学, 学说, 教导"
teenager,n. 十三岁到十九岁的少年
thy,pron. 你的
translation,"n. 翻译, 译文, 转化, 调任, 平移, 转译
"
have ... in common,"un. 没有共同之处；有某些共同之处
"
have ... in common with someone,无
have ... in common with something,无
out of style,"过时,不时兴,不时髦"
set fire to something,"放火焚烧
引火烧"
set something on fire,[网络] 放火焚烧；使情绪激昂；上放火
ability,"n. 能力, 才干
"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
apartment,"n. 房间, 公寓"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
barely,adv. 几乎不
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
bonesetter,n. 接骨师
breakup,"n. 分裂, 崩溃, 解散, 解体
"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
deny,"v. 否认, 拒绝"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
fate,"n. 命运, 运气
vt. 注定"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
impatient,"a. 不耐烦的, 着急的, 急切的"
locker,"n. 抽屉, 小柜, 上锁人
"
mostly,"adv. 大概, 大部分, 主要
"
rewarding,"a. 有益的, 有报酬的, 报答的"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
writer,"n. 作家, 撰稿者, 抄写员
"
be oneself,"处于正常状态, 显得自然, 显得真诚, 身心健康"
drag one's feet,"拖着脚走, 迟缓误事, 拖拉, 不合作"
drop by,随便访问
keep up with,"跟上
"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
start over, 重新开始
agent,"n. 代理商, 政府代表, 动原, 媒介
"
airline,"n. 航线, 航线的设备, 航空公司"
baggage,"n. 行李
"
briefcase,n. 公事包
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
conveyor,"n. 搬运者, 传达者, 转让财产者, 输送机, 输送设备
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
exclaim,"v. 大叫, 呼喊, 大声叫"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
opening,"n. 开始, 口子, 穴, 揭幕
a. 开始的"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
shortly,"adv. 不久, 简短, 唐突地"
unload,"vi. 卸货
vt. 从...卸下, 摆脱...之负担, 倾销, 卸(货)
"
vanish,"vi. 消失, 不见, 成为零"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
whoever,"pron. 任何人, 无论谁"
by any chance,万一
calm down,"平静下来, 镇定下来"
calm someone down,无
fill out,"填写, 使长大, 变大, 使长胖, 使完备"
head for,"出发, 动身, 前往"
in line,"un. 把话说死；排队；循规蹈矩；一列的
"
in sight,被看到
take off,"v. (飞机)起飞；出去；拿掉；移送
"
turn in,"v. 向里弯曲
"
walk off with,"轻易赢得, 偷走"
accurate,"a. 正确的, 精确的
"
basis,"n. 基础, 主要成分
"
biological,"a. 生物学的
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
easily,"adv. 容易地, 轻易地, 流利地"
elementary,"a. 初步的, 基本的
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
fully,"adv. 十分地, 完全地, 充分地"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
grocery,"n. 食品杂货店, 食品杂货业"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
intelligent,"a. 聪明的, 智能的, 了解的"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
location,"n. 位置, 场所, 特定区域
"
long-term, 长期的
movie,n. 电影
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
short-term,[经] 短期
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
compare ... to, 把…比作， 喻为; 与…相比
in detail,详细地
in light of,"按照, 根据"
in the light of,"由于, 当作
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
amount,"n. 总数, 总额
vi. 总计, 等同"
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
confusion,"n. 混乱, 混淆, 无秩序
"
distract,"vt. 转移, 分心, 使发狂"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
harmful,"a. 有害的, 伤害的"
helpful,"a. 有帮助的, 有益的, 有用的"
jewel,"n. 珠宝, 贵重物, 镶珠宝的饰物
vt. 饰以珠宝, 镶以宝石"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
