aha,interj. 啊哈
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
bureaucrat,"n. 官僚作风的人, 官僚, 官僚主义者
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
cartoonist,n. 漫画家
clarification,"n. 澄清, 净化
"
clown,"n. 小丑, 乡下人"
comedian,n. 喜剧演员
cross-talk,[计] 串道; 串音; 串扰
double entendre," <法>（常指有猥亵含意的）双关语； 语意双关, 双关语的使用"
entertaining,"a. 使人愉快的, 有趣的"
familiarity,"n. 熟悉, 精通, 亲密"
gathering,"n. 聚集, 集中, 采集
"
grandma,"n. 奶奶, 外婆"
humorist,"n. 幽默家, 幽默作家"
humorless,"a. 缺乏幽默感的, 非常严肃的, 一本正经的"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
idiot,"n. 白痴, 极蠢之人
"
irritated,"a. 被激怒的, 生了气的, 变粗的, 因刺激而发炎的, 发红的"
laughable,"a. 可笑的, 有趣的"
laughter,"n. 笑, 笑声
"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
mutual,"a. 相互的, 共有的
"
prance,"n. (马)腾跃, 昂首阔步
vi. 腾跃, 昂首阔步
vt. 使腾跃"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
pun,"n. 双关语, 俏皮话
vi. 说双关语, 说俏皮话
vt. 用双关语说服, 捣实"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
riddler,[化] 振动筛
selectively,adv. 有选择地
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
setup,"n. 装备, 组织, 计划, 机构, 调整, 设置
"
slap-stick,n. 趣剧；低俗的闹剧
sparkling,"a. 闪闪发光的, 闪烁的, 闪烁着才华的"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
suggestive,"a. 提示性的, 影射的, 暗示的
"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
beyond the reach of somebody,无
fall in love with somebody,[网络] 爱上某人；开始爱上某人；和某人恋爱
flash a smile,无
make an attempt to do something,无
aristocracy,"n. 贵族, 上层社会, 知识界杰出分子
"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
clockwork,"n. 钟表装置, 发条装置
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
cosy,"a. 温暖舒适的
n. 保暖套"
dated,"a. 有日期的, 陈旧的"
detection,"n. 发现, 察觉, 探测
"
drama,"n. 戏剧, 戏剧艺术"
fiction,"n. 小说, 虚构故事
"
fictional,"a. 虚构的, 编造的, 小说式的
"
gardener,"n. 园丁, 花匠, 园艺家"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
miscarriage,"n. 失败, 误送, 流产
"
