triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
attain,"vt. 达到, 获得
vi. 达到"
foundation,"n. 基础, 根据, 建立
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
facility,"n. 容易, 灵巧, 设备
"
community,"n. 社区, 公众, 共有, 共同体
"
explore,"v. 探险, 探测, 探究"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
unique,"a. 独一无二的, 独特的, 稀罕的"
enthusiasm,"n. 巨大的热情, 热心"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
benefit,"n. 利益
vt. 有益于
vi. 受益"
opportunity,"n. 机会, 时机"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
available,"a. 可利用的, 可获得的, 有效的
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
roommate,n. 住在同室的人
owl,"n. 猫头鹰
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
virtually,adv. 事实上
enrich,"vt. 使富足, 使肥沃"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
confidence,"n. 信心
"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
abundant,"a. 丰富的, 充分的, 大量的"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
inheritor,"n. 继承人, 后继者
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
acquire,"vt. 获得, 学到
"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
remind sb. of ...,"v. 提醒
"
get by,"通过, 混过"
make the most of sth.,尽量利用
reap the benefits,[网络] 获利；获得好处；者获得最大收益
reap the benefits of sth.,[网络] 获得益处；得到好处；得享某事的好处
in advance,"预先
"
stand a chance,"有可能, 有希望"
stand a chance of doing sth.,无
over time,[计] 超时
turn into sth.,[网络] 了解
turn ... into ...,[网络] 了解
all at once,"突然, 同时
"
take pleasure in sth.,乐于
take pleasure in doing sth.,无
open the door to sth.,"给...以机会, 导致..."
take delight in sth.,乐于
take delight in doing sth.,无
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
incredible,a. 难以置信的
deny,"v. 否认, 拒绝"
undeniably,adv. 确凿无疑地；不可否认地
depart,"vi. 离开, 出发, 背离, 违反, 去世"
inquisitive,"a. 好问的, 想知道的, 好追根究底的"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
despair,"n. 绝望, 失望
vi. 绝望"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
capacity,"n. 容量, 能力, 才能, 资格
"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
assured,"a. 确定的, 自信的
"
career,"n. 事业, 生涯, 成功
"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
decent,"a. 有分寸的, 得体的, 大方的"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
decade,"n. 十年, 十"
genuine,"a. 真正的, 真实的, 诚恳的
"
instinct,"n. 本能, 直觉
a. 充满着的"
confident,"a. 有信心的, 有把握的"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
comprehend,"vt. 理解, 包括"
cultivate,"vt. 培养, 耕作"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
innocence,"n. 无罪, 无知, 天真无邪
"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
amount,"n. 总数, 总额
vi. 总计, 等同"
flexibility,"n. 弹性, 适应性
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
enthusiastically,"adv. 热心地, 狂热地"
talent,"n. 天才, 才能, 有才干的人, 天资"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
bold,"a. 大胆的
n. 粗体
"
enormous,"a. 巨大的, 庞大的"
enormously,"adv. 非常地, 巨大地"
be about to do sth., 即将做某事
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
open up,"na. (打)开；割开；开发(资源)；揭示
"
take ... seriously,"na. 重视；认真(想)；当真
"
sign up,"签约参加工作, 签约雇用"
sign up for sth., 注册，选课；报名参加
get to sb.,"到达, 接触到, 开始, 对...有影响"
give sb. the benefit of the doubt,"na. 对(某人的过错等)作善意解释
"
reduce sb. to sth.,[网络] 下降至；减少到；使处于，使成为
as long as,只要...
feel like sth.," 摸起来像是…, 有…的感觉; 想要…"
feel like doing sth.,想要(做)...
safe and sound,安然无恙的
take ... away,"adj. 买回去的
"
be born to be sth.,无
be born to do sth.,无
sb. can't wait,[网络] 等不及；迫不及待；不能等了
clutter,"n. 杂乱
vt. 弄乱, 使凌乱"
await,"vt. 等候
vi. 等待着"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
efficiency,"n. 效率, 效能, 功效
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embarrassment,"n. 困难, 阻碍, 困窘
"
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
toothpaste,"n. 牙膏
"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
trash,"n. 垃圾, 废物
vt. 丢弃"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
mismatched,a. 配错的
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
fiction,"n. 小说, 虚构故事
"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
historical,"a. 历史的, 史实的, 历史上的
"
beloved,"a. 心爱的
n. 心爱的人"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
curler,"n. 卷发的人, 卷发夹子"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
donation,"n. 捐赠物, 捐款, 捐赠
"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
ridiculous,"a. 荒谬的, 可笑的"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
item,"n. 项目, 条款, 一则, 项
"
emotional,"a. 情绪的, 情感的
"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
make it,"及时抵达, 做成"
free of,"无...的, 在...外面"
free from,"na. 无…的
"
catch oneself doing sth.,无
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
after all,毕竟
reverse oneself,"完全改变主张,改弦易辙,逆转"
straighten up,"na. 改善；正派地过日子
"
keep back,"na. 隐瞒；阻止；阻止向前；忍住
"
with open arms,热情地
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
shiver,"vi. 颤抖, 哆嗦, 被打碎
vt. 使迎风飘动, 粉碎
n. 战栗, 碎块"
complain,"v. 抱怨, 抗议, 控诉"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
chilly,"a. 寒冷的, 冷淡的, 不友好的
"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
melting,"a. 熔化的, 温柔的, 令人感动的, 甜美的
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
immense,"a. 极广大的, 无边的, 非常好的"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
barrel,"n. 桶
vt. 装入桶内"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
shellfish,"n. 贝, 甲壳类水生物
"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
eel,"n. 鳗鱼, 鳝鱼"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
migrate,"vi. 移动, 移往, 随季节而移居
"
migration,"n. 移民, 移往, 移动
"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
unwrap,vt. 打开
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
suspiciously,adv. 猜疑地；怀疑地
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
vanish,"vi. 消失, 不见, 成为零"
