tedious,"a. 沉闷的, 冗长乏味的"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
absorbed,"a. 全神贯注的, 一心一意的
"
allergic,"a. 对...过敏的, 极反感的
"
excursion,"n. 远足, 游览圆, 短程旅行
"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
exclaim,"v. 大叫, 呼喊, 大声叫"
whoa,"int. 惊叹声, 停止"
civilization,"n. 文明, 教化
"
architecture,"n. 建筑学, 建筑式样
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
condensed,a. 浓缩的；扼要的
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
distinguish,"v. 区别, 辨别"
distinctive,"a. 有特色的, 出众的"
complimentary,"a. 问候的, 称赞的, 夸奖的"
complementary,"a. 补充的, 补足的
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
criticism,"n. 批评, 评论, 非难
"
deficit,"n. 赤字, 不足额
"
dumb,"a. 哑的, 不说话的, 无声音的
"
grocery,"n. 食品杂货店, 食品杂货业"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
stationery,"n. 文具, 信纸
"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
album,"n. 粘贴簿, 唱片套
"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
proficiency,"n. 精通, 熟练, 精练"
moreover,"adv. 而且, 此外"
evidently,"adv. 明显地, 根据现有证据来看"
exposure,"n. 暴露, 揭发, 揭露
"
adequate,"a. 适当的, 足够的
"
adequately,"adv. 足够地, 适当地"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
jerk,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干
vi. 痉挛, 急拉, 急推
vt. 猛拉"
jerky,"a. 急动的, 抽筋的, 不平稳的
n. 牛肉干"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
destination,"n. 目的地, 目标, 目的
"
precise,"a. 精确的, 严谨的, 明确的
"
beneficial,"a. 有益的, 受益的
"
asset,"n. 资产, 有益的东西"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
subjunctive,"n. 假设法
a. 假设法的, 虚拟语气的"
be obliged to do sth.,无
feel obliged to do sth.,无
get serious about,无
be serious about, 对…是认真的，认真对待
run into sb.,"跑进, 撞上, 遭遇, 陷入, 达到"
fresh from,刚从…来的
distinguish between,v. 区别
nail sth. down,"v. 钉牢；约束
"
thrust sth. upon sb.,强加于
get lost,"迷路,迷失方向"
feel lost, 怅然若失; 恍然若失; 不知所措
be lost,迷
become attracted to sth.,无
be attracted to sth.,[网络] 被……所吸引；被吸引到；对……有吸引力的
out of curiosity, 出于好奇心
look upon sb. as, 当做；看成；看做
look upon sth. as, 当做；看成；看做
be equipped with sth.,"配备有,装备有…"
swell with pride, 满脸骄气
swell with anger,无
activist,n. 激进主义分子
mysterious,"a. 神秘的, 难解的, 不可思议的"
mysteriously,adv. 神秘地; 不可思议地; 诡秘地; 故弄玄虚地
assassinate,"vt. 暗杀, 行刺
"
autobiography,n. 自传
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
mainstream,n. 主流
specifically,"adv. 特定地, 明确地, 按特性"
inadequate,"a. 不充分的, 不适当的
"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
functional,"a. 功能的
"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
"
moisture,"n. 湿气, 水分, 降雨
"
advisable,"a. 适当的, 明智的"
advisory,"a. 顾问的, 咨询的, 劝告的
"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
quotation,"n. 引用语, 语录, 牌价, 报价
"
quotation mark,n. 引号
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
