complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
incomplete,"a. 不完全的, 未完成的, 不完善的
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
complementary,"a. 补充的, 补足的
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
accomplish,"vt. 完成, 达到, 实现, 使完美"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordance,"n. 一致, 和谐"
according to,"根据, 按照；取决于；据…所说"
accordingly,"adv. 相应地, 因此, 于是"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
alter,v. 改变
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
client,"n. 客户, 顾客, 委托人
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
mini,"n. 同类中的极小者, 微型汽车, 超短裙
a. 微型的"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
majority,"n. 多数, 大半
"
minimum,"a. 最小的, 最低的
n. 最小值
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
mayor,"n. 市长
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
characterize,"vt. 描绘...的特性, 刻划...的性格"
committee,"n. 委员会
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
commerce,"n. 商业, 商务, 贸易
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
constitute,"vt. 构成, 组成, 任命
"
constitution,"n. 构成, 宪法, 体格
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
institution,"n. 机构, 惯例, 制度
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
community,"n. 社区, 公众, 共有, 共同体
"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
avoid,"vt. 避免, 防止, 撤消
"
decade,"n. 十年, 十"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
appetite,"n. 食欲, 欲望, 爱好
"
aware,"a. 知道的, 有觉悟的"
engagement,"n. 诺言, 约会, 婚约, 交战
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
practical,"a. 实际的, 现实的, 实用性的
"
soda,"n. 苏打, 碳酸水
"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
transact,"vt. 办理, 处理
vi. 作交易, 谈判"
