according to,"根据, 按照；取决于；据…所说"
benefit,"n. 利益
vt. 有益于
vi. 受益"
indicate,"vt. 显示, 象征, 指示, 指出
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
actually,"adv. 事实上, 竟然, 如今, 现在"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
receptionist,n. 接待员
eventually,"adv. 最后, 终于"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
professional,"n. 专业人才
a. 专业的, 职业的"
aspect,"n. 外观, 方面, 面貌, 方向
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
willing,"a. 乐意的, 自愿的, 甘愿的"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
financial,"a. 财政的, 金融的
"
mid,"a. 中间的, 中央的, 中部的
prep. 在...之中"
possibility,"n. 可能性, 可能的事
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
economy,"n. 经济, 理财, 节约
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
mood,"n. 心情, 气氛, 生气, 基调
"
practical,"a. 实际的, 现实的, 实用性的
"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
chat,"n. 闲谈
vi. 闲谈, 聊天"
confidence,"n. 信心
"
definitely,"adv. 明确无疑地, 清楚地"
dependence,"n. 依赖, 依存, 信赖
"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
employee,"n. 职员, 员工, 受雇人员
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
independence,"n. 独立, 自立, 自主
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
informal,"a. 非正式的, 不拘礼的, 通俗的
"
occur,"vi. 发生, 被想到, 存在"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
promote,"vt. 促进, 晋升, 创办, 推销
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
response,"n. 反应, 回答, 响应
"
sufficient,"a. 充分的, 足够的
"
acceptable,"a. 可接受的, 合意的, 可忍受的"
actual,"a. 真实的, 实际的, 现行的
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
assign,"vt. 分配, 指派, 赋值
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
beneficial,"a. 有益的, 受益的
"
circumstance,"n. 环境, 状况, 事件"
combination,"n. 组合, 合并, 联合
"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
conference,"n. 会议
"
confident,"a. 有信心的, 有把握的"
consumption,"n. 消费, 消费量, 痨病
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
demonstrate,"vt. 示范, 证明
vi. 示威"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
efficiency,"n. 效率, 效能, 功效
"
emotion,"n. 情绪, 激动, 强烈的情感
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
ensure,"vt. 确定, 保证, 担保, 保护
"
equally,"adv. 相等地, 同样地, 平等地"
evidence,"n. 根据, 证据, 迹象
"
imply,"vt. 暗示, 意味
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
investment,"n. 投资
"
legal,"a. 法律的, 法定的, 合法的
"
necessarily,"adv. 必然地, 必须地, 必要地"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
replace,"vt. 代替, 替换, 放回, 归还
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
acquire,"vt. 获得, 学到
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
artificial,"a. 人造的, 假的, 非原地产的
"
association,"n. 协会
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
cite,"vt. 引用, 引证, 表彰
"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
committee,"n. 委员会
"
competitive,"a. 竞争的
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
defend,"vt. 防护, 辩护, 防卫
"
delegate,"n. 代表
vt. 委派...为代表"
disturb,"vt. 扰乱, 妨碍, 使不安
"
element,"n. 元件, 元素, 要素
"
emotional,"a. 情绪的, 情感的
"
employment,"n. 雇用, 职业, 工作
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
enrich,"vt. 使富足, 使肥沃"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
explore,"v. 探险, 探测, 探究"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
frequently,"adv. 频繁, 经常地"
historical,"a. 历史的, 史实的, 历史上的
"
imaginative,"a. 想像的, 虚构的"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
intelligent,"a. 聪明的, 智能的, 了解的"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
literature,"n. 文学, 文艺, 著作
"
necessity,"n. 需要, 必需品, 必然
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
presentation,"n. 赠与, 描述, 介绍
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
prosperity,"n. 繁荣, 茂盛, 成功
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
reception,"n. 接待, 接受, 招待会
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
reluctant,"a. 不情愿的, 勉强的
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
revenue,"n. 收入, 岁入, 税收, 税务局
"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
status,"n. 状态, 情形, 地位, 要人身份
"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
accomplishment,"n. 成就, 完成"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
adequate,"a. 适当的, 足够的
"
adverbial,"a. 副词的, 状语的
n. 状语"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
alter,v. 改变
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
beforehand,adv. 预先
boundary,"n. 边界, 分界线
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
compel,"vt. 强迫, 迫使"
complaint,"n. 诉苦, 抱怨, 控诉
"
concept,"n. 观念, 概念
"
consequently,adv. 所以
conservative,"a. 保守的, 守旧的, 有保存力的
"
consist,"vi. 组成, 存在于, 一致"
construction,"n. 建筑, 构造, 建筑物
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
convey,"vt. 传达, 运输, 转让
"
convince,"vt. 说服, 使相信
"
crime,"n. 犯罪, 罪行, 罪恶
"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
determine,"v. 决定, 决心"
disadvantage,"n. 缺点, 不利, 坏处"
disaster,"n. 灾祸, 不幸, 彻底失败"
distinction,n. 区别
distinguish,"v. 区别, 辨别"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
economics,"n. 经济学
"
election,"n. 选举, 当选, 选择权
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
entertaining,"a. 使人愉快的, 有趣的"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
error,"n. 错误, 过失, 失误, 误差
"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
expense,"n. 费用, 代价, 开支, 损失
"
explosion,"n. 爆发, 激增, 爆炸(声)
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extent,"n. 范围, 程度, 区域
"
extremely,"adv. 极端地, 非常地"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fate,"n. 命运, 运气
vt. 注定"
federal,"a. 联邦的, 联合的, 同盟的
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
frustrated,"a. 失意的, 挫败的；泄气的"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
imagination,"n. 想像, 听觉, 想像力
"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
implication,"n. 牵连, 含义, 暗示
"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
infectious,"a. 有传染性的, 易传染的
"
infer,"vt. 推论出, 推断
vi. 作推论"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
insight,"n. 察看, 洞察力, 见识
"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
laptop,[计] 膝上型的
locate,"vt. 找出, 设于, 位于
vi. 定居"
location,"n. 位置, 场所, 特定区域
"
machinery,"n. 机器, 机械装置, 机构
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
mechanical,"a. 机械的, 机械性的, 力学的
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
overtime,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
priority,"n. 优先权, 优先
"
production,"n. 制造, 生产, 产物
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
proposal,"n. 提议, 计划, 求婚
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
psychological,"a. 心理学的, 精神上的, 心灵的
"
psychologist,"n. 心理学家
"
rapidly,"adv. 飞快地, 迅速地, 赶紧地"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
rarely,"adv. 很少地, 罕有地"
reasonable,"a. 合理的, 明理的, 适当的
"
recession,"n. 后退, 凹处, 衰退, 归还
"
refugee,"n. 难民, 流亡者
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
responsible,"a. 有责任的, 负责的, 责任重大的
"
ribbon,"n. 缎带, 色带, 带状物
vt. 用丝带装饰, 把...撕成条状
vi. 形成带状
"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
sensible,"a. 有感觉的, 敏感的, 明智的
"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
sufficiency,"n. 充足, 充分的数量, 自负"
superstition,"n. 迷信
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
tribute,"n. 贡物, 礼物, 颂辞"
tuition,"n. 学费, 讲授"
unemployment,"n. 失业, 失业人数
"
variety,"n. 多样, 种类, 变种, 杂耍
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
version,"n. 一种描述, 版本, 译文
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
abundant,"a. 丰富的, 充分的, 大量的"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accordingly,"adv. 相应地, 因此, 于是"
activist,n. 激进主义分子
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
antibiotic,"n. 抗生素
a. 抗生的"
apparently,"adv. 表面上, 清楚地, 显然地"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appoint,"vt. 任命, 指定, 下令
"
appointment,"n. 约会, 委任的职位, 委派
"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
attendance,"n. 出席, 出席的人数, 照料
"
attorney,"n. 代理人, 律师
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
barely,adv. 几乎不
biologist,"n. 生物学家
"
blend,"vt. 混合
n. 混合"
bodily,"a. 身体的
adv. 亲自"
booklet,n. 小册子
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
Buddhist,"n. 佛教徒
a. 佛教的"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
calculate,"v. 计算, 预测, 计划, 打算"
candidate,"n. 候选人, 投考者
"
capability,"n. 能力, 性能, 约束力
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cease,"n. 停止
v. 停止, 终了"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
charming,"a. 迷人的, 有吸引力的"
civil,"a. 市民的, 公民的, 有礼貌的
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
comparatively,"adv. 比较地, 相对地"
comparison,"n. 比较, 对照, 比喻
"
compensation,"n. 补偿, 赔偿金, 工资
"
complain,"v. 抱怨, 抗议, 控诉"
comprehend,"vt. 理解, 包括"
comprehension,"n. 理解, 包含"
concession,"n. 特许, 让步, 认可
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
congress,"n. 国会, 会议, 讨论会
"
conspicuous,"a. 显著的, 显眼的, 出众的"
contagious,"a. 触染性的, 会蔓延的
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
contradiction,"n. 反驳, 矛盾
"
cooperate,"vi. 合作, 协力, 配合
"
cooperative,a. 合作的；合作社的
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
crucial,"a. 决定性的, 重要的, 严厉的
"
cultivate,"vt. 培养, 耕作"
cultural,"a. 文化的, 教养的, 修养的
"
currently,"adv. 现在, 当前, 一般, 普通
"
curriculum,"n. 课程
"
dedicate,"vt. 献出, 贡献"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
define,"vt. 定义, 规定, 使明确
"
definition,"n. 定义, 精确度, 清晰度
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
democratic,"a. 民主的
"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
depressed,"a. 沮丧的, 降低的
"
description,"n. 描述, 说明, 种类
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
detention,"n. 阻止, 监禁, 拘留
"
devote,"vt. 投入于, 献身"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
differ,"vi. 不一致, 不同
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
discrimination,"n. 差别, 岐视, 辨别力
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
distribute,"vt. 分配, 散布, 分发
"
distribution,"n. 分配
"
donate,v. 捐赠
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
efficient,"a. 有效率的, 能干的"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
embarrassed,a. 尴尬的；窘迫的
embarrassing,"a. 令人为难的, 麻烦的"
emergence,"n. 出现, 浮现, 发生"
employer,"n. 雇主, 老板
"
empire,"n. 帝国, 帝权"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
